Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,object_status (run),Organism,Platform,ReleaseDate,create_date,version,Sample_id,Sample Name,sample_type,sex,SRA Study,strain,tissue,dev_stage,AGE,fasta_file (run),accession (run),study (run)
SRR15502495,RNA-Seq,75,653597325,PRJNA755328,SAMN20816580,Model organism or animal,299129454,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802141,Illumina HiSeq 4000,A_J_FSaline199NAC.,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:22:00Z,1,Sample_17,A_J_FSaline199NAC.,fastq,female,SRP332923,A/J,nucleus accumbens,Not collected,,,,
SRR15502506,RNA-Seq,75,653597325,PRJNA755328,SAMN20816580,Model organism or animal,234307697,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802130,Illumina HiSeq 4000,A_J_FSaline199NAC.1,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:22:00Z,1,Sample_17,A_J_FSaline199NAC.,fastq,female,SRP332923,A/J,nucleus accumbens,Not collected,,,,
SRR15502517,RNA-Seq,75,821168925,PRJNA755328,SAMN20816579,Model organism or animal,381720482,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802119,Illumina HiSeq 4000,A_J_FSaline2PFC.,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:24:00Z,1,Sample_16,A_J_FSaline2PFC.,fastq,female,SRP332923,A/J,Prefrontal Cortex,Not collected,,,,
SRR15502528,RNA-Seq,75,821168925,PRJNA755328,SAMN20816579,Model organism or animal,294910187,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802108,Illumina HiSeq 4000,A_J_FSaline2PFC.1,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:24:00Z,1,Sample_16,A_J_FSaline2PFC.,fastq,female,SRP332923,A/J,Prefrontal Cortex,Not collected,,,,
SRR15502540,RNA-Seq,75,847581375,PRJNA755328,SAMN20816578,Model organism or animal,389035109,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802096,Illumina HiSeq 4000,A_J_FSaline2NAC.,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:23:00Z,1,Sample_15,A_J_FSaline2NAC.,fastq,female,SRP332923,A/J,nucleus accumbens,Not collected,,,,
SRR15502551,RNA-Seq,75,847581375,PRJNA755328,SAMN20816578,Model organism or animal,301033198,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802085,Illumina HiSeq 4000,A_J_FSaline2NAC.1,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:24:00Z,1,Sample_15,A_J_FSaline2NAC.,fastq,female,SRP332923,A/J,nucleus accumbens,Not collected,,,,
SRR15502562,RNA-Seq,75,885589425,PRJNA755328,SAMN20816577,Model organism or animal,406365892,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802074,Illumina HiSeq 4000,A_J_FCocaine202PFC.,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:23:00Z,1,Sample_14,A_J_FCocaine202PFC.,fastq,female,SRP332923,A/J,Prefrontal Cortex,Not collected,,,,
SRR15502573,RNA-Seq,75,885589425,PRJNA755328,SAMN20816577,Model organism or animal,314781065,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802063,Illumina HiSeq 4000,A_J_FCocaine202PFC.1,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:23:00Z,1,Sample_14,A_J_FCocaine202PFC.,fastq,female,SRP332923,A/J,Prefrontal Cortex,Not collected,,,,
SRR15502584,RNA-Seq,75,861058500,PRJNA755328,SAMN20816576,Model organism or animal,395246471,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802052,Illumina HiSeq 4000,A_J_FCocaine202NAC.,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:24:00Z,1,Sample_13,A_J_FCocaine202NAC.,fastq,female,SRP332923,A/J,nucleus accumbens,Not collected,,,,
SRR15502595,RNA-Seq,75,861058500,PRJNA755328,SAMN20816576,Model organism or animal,308715723,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802041,Illumina HiSeq 4000,A_J_FCocaine202NAC.1,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:25:00Z,1,Sample_13,A_J_FCocaine202NAC.,fastq,female,SRP332923,A/J,nucleus accumbens,Not collected,,,,
SRR15502606,RNA-Seq,75,817376700,PRJNA755328,SAMN20816575,Model organism or animal,372954900,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802030,Illumina HiSeq 4000,A_J_FCocaine200PFC.,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:25:00Z,1,Sample_12,A_J_FCocaine200PFC.,fastq,female,SRP332923,A/J,Prefrontal Cortex,Not collected,,,,
SRR15502617,RNA-Seq,75,817376700,PRJNA755328,SAMN20816575,Model organism or animal,293759649,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802019,Illumina HiSeq 4000,A_J_FCocaine200PFC.1,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:24:00Z,1,Sample_12,A_J_FCocaine200PFC.,fastq,female,SRP332923,A/J,Prefrontal Cortex,Not collected,,,,
SRR15502628,RNA-Seq,75,902769375,PRJNA755328,SAMN20816574,Model organism or animal,420469169,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11802008,Illumina HiSeq 4000,A_J_FCocaine200NAC.,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:25:00Z,1,Sample_11,A_J_FCocaine200NAC.,fastq,female,SRP332923,A/J,nucleus accumbens,Not collected,,,,
SRR15502639,RNA-Seq,75,902769375,PRJNA755328,SAMN20816574,Model organism or animal,325610491,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11801997,Illumina HiSeq 4000,A_J_FCocaine200NAC.1,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:25:00Z,1,Sample_11,A_J_FCocaine200NAC.,fastq,female,SRP332923,A/J,nucleus accumbens,Not collected,,,,
SRR15502651,RNA-Seq,75,768764700,PRJNA755328,SAMN20816573,Model organism or animal,344799486,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11801985,Illumina HiSeq 4000,A_J_FCocaine3PFC.,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:25:00Z,1,Sample_10,A_J_FCocaine3PFC.,fastq,female,SRP332923,A/J,Prefrontal Cortex,Not collected,,,,
SRR15502662,RNA-Seq,75,768764700,PRJNA755328,SAMN20816573,Model organism or animal,276464265,UNIVERSITY OF CALIFORNIA LOS ANGELES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11801974,Illumina HiSeq 4000,A_J_FCocaine3PFC.1,PAIRED,RANDOM,TRANSCRIPTOMIC,new,Mus musculus,ILLUMINA,2021-08-24T00:00:00Z,2021-08-17T17:25:00Z,1,Sample_10,A_J_FCocaine3PFC.,fastq,female,SRP332923,A/J,Prefrontal Cortex,Not collected,,,,
