.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR15502495	1	1	1	0.5	0.5	1	1	0.5	1	1
SRR15502506	1	1	1	0.25	1	1	1	0.5	1	1
SRR15502562	1	1	1	0.5	1	1	1	0.5	1	1
SRR15502573	1	1	1	0.25	1	1	1	0.5	1	1
SRR15502584	1	1	1	0.5	1	1	1	0.5	1	1
SRR15502595	1	1	1	0.25	1	1	1	0.5	1	1
SRR15502832	1	1	1	0.5	1	1	1	0.5	1	1
SRR15502843	1	1	1	0.25	1	1	1	0.5	1	1
SRR15502854	1	1	1	0.5	1	1	1	0.5	1	1
SRR15502865	1	1	1	0.25	1	1	1	0.5	1	1
SRR15502965	1	1	1	0.5	1	1	1	0.5	1	1
SRR15502976	1	1	1	0.25	1	1	1	0.5	1	1
SRR15502988	1	1	1	0.5	0.5	1	1	0.5	1	1
SRR15502999	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR15503143	1	1	1	0.5	1	1	1	0.5	1	1
SRR15503154	1	1	1	0.25	1	1	1	0.5	1	1
