Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
SRR15502495 - polya	(1, 0.01048810902033603)	(2, 0.015055141175799642)	(3, 0.017843555280768628)	(4, 0.020941793175178615)	(5, 0.023259734118403867)	(6, 0.02488917775176023)	(7, 0.027172693829492035)	(8, 0.030925004168277464)	(9, 0.03622643345426788)	(10, 0.041803261664205865)	(11, 0.043754004042167706)	(12, 0.04649651832647877)	(13, 0.049273457476283276)	(14, 0.052073346536416744)	(15, 0.05496503523786607)	(16, 0.05779934916349298)	(17, 0.061379535174811185)	(18, 0.06423679901076706)	(19, 0.06691046356409124)	(20, 0.0702037756962974)	(21, 0.072934815025444)	(22, 0.0760215779646895)	(23, 0.07899359135229019)	(24, 0.08242460294647014)	(25, 0.0859703640922949)	(26, 0.08886205279374422)	(27, 0.09168489176420666)	(28, 0.09461100533114943)	(29, 0.09742236934644737)	(30, 0.10042880759954151)	(31, 0.10345819576296461)	(32, 0.10660233347803252)	(33, 0.10937927262783702)	(34, 0.11206441213632568)	(35, 0.11534624931336737)	(36, 0.11836416252162599)	(37, 0.12155420005735183)	(38, 0.1250425864273542)	(39, 0.12896702109360683)	(40, 0.13130791194716104)	(41, 0.13417665073828142)	(42, 0.1372634136775269)	(43, 0.14025837697545657)	(44, 0.14341398964568897)	(45, 0.1464204278987831)	(46, 0.14965636525516685)	(47, 0.15294967738737303)	(48, 0.15580694122332892)	(49, 0.15873305479027167)	(50, 0.16234766566708334)	(51, 0.16560655293379606)	(52, 0.16864741605238362)	(53, 0.17161942943998432)	(54, 0.17418981939682815)	(55, 0.1767716843088365)	(56, 0.17958304832413444)	(57, 0.18230261269811654)	(58, 0.18505660193759207)	(59, 0.1881892646974955)	(60, 0.1914711018745372)	(61, 0.1950053880651975)	(62, 0.1984708245248709)	(63, 0.20159201232960983)	(64, 0.20479352482050014)
SRR15502506 - polya	(1, 0.0017786180504946222)	(2, 0.0038211600697723174)	(3, 0.005645677940924865)	(4, 0.008537366642374186)	(5, 0.011084806688889065)	(6, 0.01256507590510717)	(7, 0.014550243148562458)	(8, 0.017487831670669706)	(9, 0.022295837884587427)	(10, 0.027677591856729217)	(11, 0.029192285938440768)	(12, 0.031108603450909166)	(13, 0.03305934582887101)	(14, 0.03534286190660282)	(15, 0.03829192538387454)	(16, 0.040403317134139125)	(17, 0.043237631059766045)	(18, 0.04532607289970166)	(19, 0.04741451473963729)	(20, 0.049480006669243945)	(21, 0.051430749047205786)	(22, 0.0530257678150687)	(23, 0.05474701108974092)	(24, 0.05634202985760384)	(25, 0.05845342160786842)	(26, 0.06030088938934993)	(27, 0.06196475788819974)	(28, 0.06350240188024026)	(29, 0.06500562100678732)	(30, 0.06692193851925572)	(31, 0.0688497309868886)	(32, 0.0703300002031067)	(33, 0.07163814509185759)	(34, 0.07325611377004947)	(35, 0.07500030695505065)	(36, 0.07685924969169665)	(37, 0.079418164693376)	(38, 0.08165578095044988)	(39, 0.0839278220730172)	(40, 0.08649821202986105)	(41, 0.08888500270407318)	(42, 0.09124884346795636)	(43, 0.09310778620460235)	(44, 0.09476017974828768)	(45, 0.09627487382999923)	(46, 0.09786989259786215)	(47, 0.09935016181408025)	(48, 0.1008648558957918)	(49, 0.10251724943947713)	(50, 0.10400899361085972)	(51, 0.10534008840993957)	(52, 0.10696953204329593)	(53, 0.10882847477994191)	(54, 0.11064151769592999)	(55, 0.11221358655346395)	(56, 0.1136594309041886)	(57, 0.11554132355116356)	(58, 0.11694126808123029)	(59, 0.11862808649040905)	(60, 0.1202116303031075)	(61, 0.12164599969866768)	(62, 0.12345904261465575)	(63, 0.1252720855306438)	(64, 0.12759002647386905)
SRR15502562 - polya	(1, 0.009934061712627158)	(2, 0.014990016395012847)	(3, 0.017327442680336883)	(4, 0.019918937040152664)	(5, 0.021765165048126)	(6, 0.023111725842932238)	(7, 0.02496642278672196)	(8, 0.028641940931035847)	(9, 0.033384544988215054)	(10, 0.03839815499151879)	(11, 0.039914094502652854)	(12, 0.04225998972379328)	(13, 0.044699043238914014)	(14, 0.046867090807910225)	(15, 0.04924686177231622)	(16, 0.05190610761866313)	(17, 0.0552005236512394)	(18, 0.057724266524524045)	(19, 0.06056136002301518)	(20, 0.06322907480517849)	(21, 0.06580363129336148)	(22, 0.06939446007951144)	(23, 0.07219767783473702)	(24, 0.07578003768507059)	(25, 0.07918454988325996)	(26, 0.081911547216138)	(27, 0.08454538625503573)	(28, 0.08723850784464822)	(29, 0.08995703624170986)	(30, 0.09250618592244368)	(31, 0.09550418920144625)	(32, 0.09829893802085543)	(33, 0.1007041157927106)	(34, 0.10384609098059182)	(35, 0.1064545232120404)	(36, 0.10927467883889874)	(37, 0.11233196466861604)	(38, 0.11541465730578253)	(39, 0.11800615166559832)	(40, 0.12041979837326987)	(41, 0.12300282379726926)	(42, 0.12618714366423245)	(43, 0.12943074608191035)	(44, 0.1323609978743818)	(45, 0.13520656030868933)	(46, 0.13807752955044603)	(47, 0.1407791200758749)	(48, 0.14327745614171036)	(49, 0.14655493430265384)	(50, 0.14900245675359097)	(51, 0.1521444319414722)	(52, 0.15498152543996332)	(53, 0.15852154061121496)	(54, 0.16157882644093227)	(55, 0.16483089779442658)	(56, 0.16759177087057017)	(57, 0.170335706075081)	(58, 0.17335064722571636)	(59, 0.1760861134944108)	(60, 0.17890626912126914)	(61, 0.18169254900486193)	(62, 0.18432638804375967)	(63, 0.18747683216745728)	(64, 0.19058493161207293)
SRR15502573 - polya	(1, 0.002599963295632172)	(2, 0.006809024396378717)	(3, 0.010027220006607464)	(4, 0.014939202780114498)	(5, 0.017971081802382632)	(6, 0.019732620452192054)	(7, 0.022214018646394745)	(8, 0.026177480608465937)	(9, 0.03302884968392661)	(10, 0.039634619620711936)	(11, 0.04177726038225897)	(12, 0.04455507133003536)	(13, 0.047290537598729795)	(14, 0.05024619619865041)	(15, 0.05332888883581689)	(16, 0.05572559767185567)	(17, 0.0584695328763665)	(18, 0.061289688503224846)	(19, 0.06396587222120453)	(20, 0.0666759316824498)	(21, 0.06912345413338693)	(22, 0.071418535739629)	(23, 0.07388299606219892)	(24, 0.0758731959790509)	(25, 0.07848162821049946)	(26, 0.08086986811072185)	(27, 0.08320729439604589)	(28, 0.08520596324871427)	(29, 0.08717075635811708)	(30, 0.08955899625833946)	(31, 0.09178632637805041)	(32, 0.09453873051837763)	(33, 0.09638495852635097)	(34, 0.0984259720581013)	(35, 0.10081421195832369)	(36, 0.10326173440926081)	(37, 0.10655615044183708)	(38, 0.10924927203144956)	(39, 0.11219646169555378)	(40, 0.11476254924792038)	(41, 0.11698141043181495)	(42, 0.11952209117673238)	(43, 0.12174942129644332)	(44, 0.12391746886543953)	(45, 0.12626336408657995)	(46, 0.128406004848127)	(47, 0.13073496219763464)	(48, 0.13276750679356858)	(49, 0.13499483691327954)	(50, 0.13713747767482656)	(51, 0.1388905473888196)	(52, 0.14132960090394034)	(53, 0.14349764847293653)	(54, 0.14586895050152615)	(55, 0.1482825972091977)	(56, 0.15021351457533497)	(57, 0.1520597425833083)	(58, 0.1543378863179176)	(59, 0.15614176964680895)	(60, 0.1580811559487626)	(61, 0.16020685883867686)	(62, 0.16195145961685348)	(63, 0.16378074975319404)	(64, 0.16631296156229508)
SRR15502584 - polya	(1, 0.009633491801079717)	(2, 0.014702833779586404)	(3, 0.016976198481287858)	(4, 0.01931053465008475)	(5, 0.021366144112159625)	(6, 0.02283816953203528)	(7, 0.02444084809568688)	(8, 0.02863916911568726)	(9, 0.03356043753124788)	(10, 0.03937014732448492)	(11, 0.04127768322361373)	(12, 0.043742672536186564)	(13, 0.04604216786664321)	(14, 0.04844618571212061)	(15, 0.05138152634228685)	(16, 0.05426460571494271)	(17, 0.05792289374066919)	(18, 0.0610063079337815)	(19, 0.06348871766552447)	(20, 0.0670860342241555)	(21, 0.06974264814759973)	(22, 0.07289574401739254)	(23, 0.07592689695299448)	(24, 0.07912354387071262)	(25, 0.08227663974050543)	(26, 0.08517713953233143)	(27, 0.0880340882762321)	(28, 0.09089103702013278)	(29, 0.09392218995573472)	(30, 0.09673558765171007)	(31, 0.09959253639561075)	(32, 0.10231012178615041)	(33, 0.10467929879328756)	(34, 0.10778013340557001)	(35, 0.1108461271795122)	(36, 0.11372920655216806)	(37, 0.11630742858934671)	(38, 0.12022702290262509)	(39, 0.12392886197627688)	(40, 0.12701227616938918)	(41, 0.12979954323660936)	(42, 0.13277843491470093)	(43, 0.1357747470119626)	(44, 0.13887558162424504)	(45, 0.14183705288316648)	(46, 0.1450598304296398)	(47, 0.14785580770644502)	(48, 0.15069533603117558)	(49, 0.15426652196105142)	(50, 0.1577157649567364)	(51, 0.1612695304674421)	(52, 0.16415260984009797)	(53, 0.16688761564980775)	(54, 0.16963133166910263)	(55, 0.17257538250885393)	(56, 0.1751971555939579)	(57, 0.17791474098449758)	(58, 0.18055393448877166)	(59, 0.18300150338217439)	(60, 0.186128468623212)	(61, 0.18958642182848204)	(62, 0.19270467685993461)	(63, 0.19568356853802615)	(64, 0.19908926048578582)
SRR15502595 - polya	(1, 0.0018291440128632376)	(2, 0.005426460571494271)	(3, 0.008065654075768371)	(4, 0.012298815934109007)	(5, 0.015129634049254494)	(6, 0.016836835127926848)	(7, 0.019327955069254877)	(8, 0.023369492316724125)	(9, 0.02957987175087407)	(10, 0.03565088783166301)	(11, 0.03752358289245156)	(12, 0.03996244157626921)	(13, 0.04277583927224457)	(14, 0.04546729403402905)	(15, 0.048481026550460854)	(16, 0.050919885234278504)	(17, 0.05409040152324145)	(18, 0.05666862356042011)	(19, 0.059116192453822825)	(20, 0.061842488053947556)	(21, 0.06395906898311787)	(22, 0.06627598473274464)	(23, 0.06854934943444609)	(24, 0.0706659303636164)	(25, 0.07302639716116849)	(26, 0.07515168829992387)	(27, 0.0774076325824552)	(28, 0.07919322554739312)	(29, 0.08126625542863812)	(30, 0.08387931830415704)	(31, 0.08600460944291241)	(32, 0.08841733749797488)	(33, 0.09033358360668875)	(34, 0.09246758495502919)	(35, 0.0946799781896352)	(36, 0.09669203660378475)	(37, 0.09889571962880571)	(38, 0.10150878250432462)	(39, 0.10424378831403441)	(40, 0.10696137370457408)	(41, 0.10970508972386894)	(42, 0.11249235679108911)	(43, 0.11453054583399386)	(44, 0.11656002466731355)	(45, 0.11854595245270792)	(46, 0.12082802736399444)	(47, 0.122979449131505)	(48, 0.12506118922233506)	(49, 0.12739552539113197)	(50, 0.12952081652988734)	(51, 0.13130640949482528)	(52, 0.1329700595255723)	(53, 0.13517374255059325)	(54, 0.13741226641395446)	(55, 0.13929367168432807)	(56, 0.14107055443968092)	(57, 0.14295195971005453)	(58, 0.1450162793817145)	(59, 0.14665379878370632)	(60, 0.14846552237739943)	(61, 0.15058210330656976)	(62, 0.1524286677386031)	(63, 0.1543187832185618)	(64, 0.15638310289022175)
SRR15502832 - polya	(1, 0.010915855261010854)	(2, 0.016234990230121985)	(3, 0.01882328580747507)	(4, 0.021719175931702007)	(5, 0.023924853901968118)	(6, 0.02583794193740301)	(7, 0.027968596847455986)	(8, 0.03212487438326356)	(9, 0.037459013964417316)	(10, 0.04254557744686773)	(11, 0.044533688542515756)	(12, 0.046874408021165506)	(13, 0.049582740494859605)	(14, 0.05214102684812744)	(15, 0.054811847791714975)	(16, 0.05783527711830424)	(17, 0.061781490085515034)	(18, 0.06456484561942227)	(19, 0.0676783026182673)	(20, 0.07058919735453685)	(21, 0.07391271892197865)	(22, 0.07712370589910074)	(23, 0.08025216750998838)	(24, 0.08368072136172856)	(25, 0.08707926598938348)	(26, 0.08996015150156779)	(27, 0.09282603240170947)	(28, 0.09592448478851187)	(29, 0.0993305317221881)	(30, 0.10228644029458554)	(31, 0.10527986039708956)	(32, 0.10808572284906073)	(33, 0.11080155762877615)	(34, 0.11426012070460158)	(35, 0.11712600160474326)	(36, 0.12005940325907676)	(37, 0.12277523803879217)	(38, 0.12627131264472416)	(39, 0.1295048065399102)	(40, 0.13221313901360432)	(41, 0.1349139691812771)	(42, 0.13823749074871888)	(43, 0.14161352845830988)	(44, 0.14460694856081388)	(45, 0.14770540094761628)	(46, 0.15114895941139908)	(47, 0.15444247175475562)	(48, 0.15723332959468417)	(49, 0.16083443648491455)	(50, 0.16406042807407928)	(51, 0.16683628130196518)	(52, 0.17002476136102335)	(53, 0.17337078984652907)	(54, 0.17635670764301178)	(55, 0.17940264388766497)	(56, 0.18225352017576402)	(57, 0.1852394379722467)	(58, 0.18848793647947537)	(59, 0.1911587574230629)	(60, 0.19469234355910148)	(61, 0.1975807313773071)	(62, 0.20036408691121432)	(63, 0.2032824839535052)	(64, 0.20650847554266993)
SRR15502843 - polya	(1, 0.002393235620798943)	(2, 0.006677052358968838)	(3, 0.009858030112005678)	(4, 0.014081828402005066)	(5, 0.016955211608168062)	(6, 0.0189508250098374)	(7, 0.02102896377774118)	(8, 0.024630070667971567)	(9, 0.030984523868023934)	(10, 0.03718893094765004)	(11, 0.0393120835516817)	(12, 0.04189287682301347)	(13, 0.0442786101377911)	(14, 0.04704696105965571)	(15, 0.05034047340301225)	(16, 0.05328137736336706)	(17, 0.056012216755125105)	(18, 0.05895312071547992)	(19, 0.06190902928787736)	(20, 0.06427975799061236)	(21, 0.06657546363313424)	(22, 0.06906622923221024)	(23, 0.07150447868913708)	(24, 0.07369515204736056)	(25, 0.07636597299094809)	(26, 0.07866918093949128)	(27, 0.08058226897492617)	(28, 0.08272792849702178)	(29, 0.08503863875158627)	(30, 0.08743937667840652)	(31, 0.08973508232092839)	(32, 0.09229336867419623)	(33, 0.09442402358424921)	(34, 0.09671972922677108)	(35, 0.09879036568865356)	(36, 0.10128863359375088)	(37, 0.1037793991928269)	(38, 0.10645022013641443)	(39, 0.10913604569204459)	(40, 0.11197191736810103)	(41, 0.11462773369964593)	(42, 0.11710349468667931)	(43, 0.11922664729071099)	(44, 0.12112473071410325)	(45, 0.12338292482651855)	(46, 0.12559610510280597)	(47, 0.12783179229715733)	(48, 0.12969986649646434)	(49, 0.13183052140651733)	(50, 0.13400619015269818)	(51, 0.13574672514964287)	(52, 0.1378398685295893)	(53, 0.13995551882759963)	(54, 0.14222121524603626)	(55, 0.14453942780662207)	(56, 0.14629496741560938)	(57, 0.14814803700287377)	(58, 0.15032370574905463)	(59, 0.15228180762061738)	(60, 0.15420239796207358)	(61, 0.15602545832525272)	(62, 0.1576009425897285)	(63, 0.15937148681075847)	(64, 0.16163718322919507)
SRR15502854 - polya	(1, 0.011784593236001869)	(2, 0.01843582609102618)	(3, 0.02161914197409645)	(4, 0.025139762851399336)	(5, 0.027427112343539235)	(6, 0.029292830592888366)	(7, 0.031601261647167804)	(8, 0.03734598733019197)	(9, 0.04349126269386736)	(10, 0.05089089100484528)	(11, 0.05331527065089218)	(12, 0.056171822320799605)	(13, 0.059302434298521035)	(14, 0.062116822844149384)	(15, 0.06573231075108019)	(16, 0.06922130928517377)	(17, 0.07428088419866294)	(18, 0.07814935085126822)	(19, 0.08171213485285017)	(20, 0.08520113338694374)	(21, 0.08875337660745594)	(22, 0.09293806669215428)	(23, 0.09668004397192231)	(24, 0.10092797874303926)	(25, 0.10461725211745845)	(26, 0.10805354674620318)	(27, 0.11123686262927346)	(28, 0.11435693382592511)	(29, 0.11813053344890245)	(30, 0.12136655323732158)	(31, 0.12492933723890354)	(32, 0.12851320280262504)	(33, 0.13175976337211392)	(34, 0.1354490367465331)	(35, 0.138695597316022)	(36, 0.14205810647727835)	(37, 0.144904117366116)	(38, 0.14850906449197704)	(39, 0.1520402261503497)	(40, 0.1553184090630479)	(41, 0.15830145010579255)	(42, 0.16249668097156067)	(43, 0.16583810857067746)	(44, 0.16952738194509664)	(45, 0.1732377368816554)	(46, 0.1773591822799351)	(47, 0.18032114176054023)	(48, 0.1831987749925872)	(49, 0.18648749868635517)	(50, 0.18953378441551844)	(51, 0.19279088576607709)	(52, 0.1959636608680776)	(53, 0.19970563814784562)	(54, 0.20325788136835782)	(55, 0.20673633912138162)	(56, 0.2102991231229636)	(57, 0.21329270494677802)	(58, 0.21659196942161574)	(59, 0.21972258139933717)	(60, 0.2228531933770586)	(61, 0.22620516175724517)	(62, 0.22939901842138521)	(63, 0.23289855773654858)	(64, 0.23632431158422354)
SRR15502865 - polya	(1, 0.0016232802847444435)	(2, 0.005038493351349637)	(3, 0.007947748926605911)	(4, 0.01284921212404855)	(5, 0.015663600669676904)	(6, 0.017423911108328347)	(7, 0.019774505286886856)	(8, 0.023832705998747965)	(9, 0.030768539942656045)	(10, 0.037767618572982734)	(11, 0.0396544183844714)	(12, 0.042848275048611446)	(13, 0.04583131609135611)	(14, 0.048687867761263534)	(15, 0.052408763478892034)	(16, 0.05495963249777616)	(17, 0.05846971259400927)	(18, 0.06121031567214924)	(19, 0.06372956234782406)	(20, 0.06612231965066165)	(21, 0.06842020992387132)	(22, 0.0708867526941973)	(23, 0.07315302062419765)	(24, 0.07530333996243055)	(25, 0.07789637210559375)	(26, 0.0799939875384778)	(27, 0.08232350015489678)	(28, 0.08414705527996684)	(29, 0.08629737461819974)	(30, 0.08867959113996755)	(31, 0.09081936969713068)	(32, 0.09285374044359612)	(33, 0.09479324416043364)	(34, 0.09669058475299208)	(35, 0.09919929064759712)	(36, 0.10138123232903934)	(37, 0.10353155166727224)	(38, 0.10588214584583075)	(39, 0.10858058579969164)	(40, 0.11137389278318045)	(41, 0.1137455685238785)	(42, 0.11650725316415801)	(43, 0.11893163281020491)	(44, 0.12083951418383312)	(45, 0.12308470055169395)	(46, 0.12550908019774085)	(47, 0.1278807559384389)	(48, 0.13016810543057877)	(49, 0.13239221023630007)	(50, 0.13463739660416088)	(51, 0.1365452779777891)	(52, 0.138695597316022)	(53, 0.140888079778534)	(54, 0.14320705161388317)	(55, 0.14516763689286025)	(56, 0.14703335514220936)	(57, 0.14908880745081435)	(58, 0.15097560726230302)	(59, 0.15299943722769868)	(60, 0.15522354203341998)	(61, 0.1571946680934668)	(62, 0.15919741649672292)	(63, 0.16124232802425814)	(64, 0.16372995235672363)
