Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
SRR15502495	(1, 30.578956125623677)	(2, 31.22994846253387)	(3, 34.18157314979831)	(4, 35.28654936737998)	(5, 35.707327826043354)	(6, 38.84550246591049)	(7, 39.10135885271562)	(8, 39.13459961758564)	(9, 39.10822661338157)	(10, 39.16557511155665)	(11, 39.26871315607052)	(12, 39.234336714887874)	(13, 39.120414622259965)	(14, 39.07198778697572)	(15, 39.0851124964442)	(16, 39.023090822778386)	(17, 38.83918297860231)	(18, 38.95867271947602)	(19, 39.04866505535346)	(20, 38.960572857301706)	(21, 38.94845977988052)	(22, 38.823240479143635)	(23, 38.69691200924055)	(24, 38.81225102933217)	(25, 38.55269993646317)	(26, 38.65647323449495)	(27, 38.5660756032011)	(28, 38.51397953625346)	(29, 38.41840015945598)	(30, 38.541571983942866)	(31, 38.615856024196546)	(32, 38.62459259606058)	(33, 38.44333971226091)	(34, 38.45348931010389)	(35, 38.12359605357932)	(36, 37.91359289911414)	(37, 37.77503533999317)	(38, 37.7100382104532)	(39, 37.58763497846323)	(40, 37.521513188567596)	(41, 37.47003355621139)	(42, 37.43553628375086)	(43, 37.409380959446246)	(44, 37.35957139206468)	(45, 37.23658374060818)	(46, 37.21928777018786)	(47, 37.2172050658255)	(48, 37.16436760202469)	(49, 37.133691030635724)	(50, 37.065949550818615)	(51, 36.94191113771771)	(52, 36.88274741638516)	(53, 36.88208542622172)	(54, 36.8138828827061)	(55, 36.77708373423958)	(56, 36.69136983539521)	(57, 36.65090386500587)	(58, 36.65290693317939)	(59, 36.60081637421022)	(60, 36.39621126815352)	(61, 36.43807029809983)	(62, 36.36810107048709)	(63, 36.21566684808571)	(64, 36.21521416110447)	(65, 36.169193050170456)	(66, 36.06864203429841)	(67, 35.9471745849021)	(68, 35.890751082862835)	(69, 35.72777286840946)	(70, 35.648889666125854)	(71, 35.575136572047626)	(72, 35.42388254878491)	(73, 35.27598931039077)	(74, 35.113632923757756)	(75, 31.528325525200092)
SRR15502506	(1, 31.61052108804148)	(2, 31.564394063271298)	(3, 35.71103779379758)	(4, 36.32001194313334)	(5, 36.475429194879275)	(6, 39.98893378273848)	(7, 40.05754058892453)	(8, 40.142215315829205)	(9, 40.189607798654926)	(10, 40.21825031949144)	(11, 40.24765133486432)	(12, 40.23244529802811)	(13, 40.19617686623794)	(14, 40.198376959391624)	(15, 40.19199390083183)	(16, 40.131303207215545)	(17, 40.18500943987187)	(18, 40.18759968150115)	(19, 40.162745617112186)	(20, 40.1592479360285)	(21, 40.155244438921166)	(22, 40.15498372793983)	(23, 40.14446234154951)	(24, 40.13477862688621)	(25, 40.092115202582875)	(26, 40.0725127661745)	(27, 40.04668596983625)	(28, 40.027099024617335)	(29, 40.014704810794626)	(30, 40.01330670225739)	(31, 40.02465394117089)	(32, 40.01304036854802)	(33, 40.00757828988973)	(34, 39.99752749141071)	(35, 39.98355489750513)	(36, 39.97752813630319)	(37, 39.9710126567608)	(38, 39.97048790706113)	(39, 39.96174949920427)	(40, 39.955755900622755)	(41, 39.94191710469439)	(42, 39.92408513911834)	(43, 39.91510598670213)	(44, 39.87127303496843)	(45, 39.873610827584095)	(46, 39.88313343387689)	(47, 39.85431936246067)	(48, 39.83654959114161)	(49, 39.83407375481532)	(50, 39.8039167693962)	(51, 39.8049701702803)	(52, 39.79538376323679)	(53, 39.78348090699423)	(54, 39.768770817720224)	(55, 39.76831560624885)	(56, 39.74713582250356)	(57, 39.69979784571487)	(58, 39.718058745114966)	(59, 39.71117228027211)	(60, 39.670584560608475)	(61, 39.67724152634805)	(62, 39.64996670541759)	(63, 39.656872448185126)	(64, 39.63970339076893)	(65, 39.64326475785378)	(66, 39.598704752960856)	(67, 39.603239540492304)	(68, 39.58247687136724)	(69, 39.59112829906395)	(70, 39.55871763245053)	(71, 39.54921568107703)	(72, 39.531984199904734)	(73, 39.5366209997876)	(74, 39.48918560062956)	(75, 38.95215850217869)
SRR15502562	(1, 30.298072495614996)	(2, 31.078942253629553)	(3, 33.37319348071484)	(4, 35.06399619101143)	(5, 35.64828983814932)	(6, 39.02000972403211)	(7, 38.79220094006882)	(8, 38.709423190097375)	(9, 38.904441863677405)	(10, 38.9511988583197)	(11, 39.303699934086275)	(12, 39.3159437286641)	(13, 39.157877986178526)	(14, 39.14168275552748)	(15, 39.07708984329843)	(16, 39.07914813345925)	(17, 38.89047624975874)	(18, 38.95146359725332)	(19, 39.137705404510676)	(20, 38.97903108429733)	(21, 39.040357527981996)	(22, 38.86031701428684)	(23, 38.76493418493564)	(24, 38.92617205202061)	(25, 38.63833562036945)	(26, 38.79791645547258)	(27, 38.738595032342445)	(28, 38.64298548957944)	(29, 38.52992587394548)	(30, 38.5910329721925)	(31, 38.703818109616655)	(32, 38.75812626150092)	(33, 38.55352778179346)	(34, 38.60623073158309)	(35, 38.21376483238833)	(36, 38.01690526622989)	(37, 37.87170180470481)	(38, 37.78976518943866)	(39, 37.672313160243526)	(40, 37.61609839683892)	(41, 37.57061538421148)	(42, 37.549204051301764)	(43, 37.52672978225773)	(44, 37.48092554289478)	(45, 37.362251361571985)	(46, 37.35523908271601)	(47, 37.35392097754555)	(48, 37.29806970086618)	(49, 37.273846935333495)	(50, 37.2022301418064)	(51, 37.07619958876541)	(52, 37.021056145741575)	(53, 37.02022517375927)	(54, 36.955570777056195)	(55, 36.91978003802383)	(56, 36.83424937577591)	(57, 36.79274439168015)	(58, 36.79068271394501)	(59, 36.738471555258236)	(60, 36.53515112265484)	(61, 36.58298409559261)	(62, 36.51116099878902)	(63, 36.35726366651228)	(64, 36.35916036937772)	(65, 36.316580762016216)	(66, 36.20903340732642)	(67, 36.09367489906511)	(68, 36.03271499092257)	(69, 35.86605666615768)	(70, 35.791436957368816)	(71, 35.71891043075633)	(72, 35.562441421429575)	(73, 35.42181855321951)	(74, 35.25503920736181)	(75, 31.617932853026108)
SRR15502573	(1, 31.65797017054489)	(2, 31.513570156960714)	(3, 35.816382800641506)	(4, 36.352499043221975)	(5, 36.498378495203916)	(6, 40.03814290126601)	(7, 40.095261723569024)	(8, 40.227888307270604)	(9, 40.23000164551423)	(10, 40.26760719280269)	(11, 40.28292300915856)	(12, 40.25028356114347)	(13, 40.227165229530605)	(14, 40.22382406497232)	(15, 40.24146765302668)	(16, 40.16734947461686)	(17, 40.220314199212574)	(18, 40.223948050192675)	(19, 40.198712654004424)	(20, 40.19159967950159)	(21, 40.18828104231258)	(22, 40.1871992204514)	(23, 40.17683408990572)	(24, 40.16852301505294)	(25, 40.126936983241414)	(26, 40.109411367462975)	(27, 40.0869833388085)	(28, 40.06753756121241)	(29, 40.0525501701875)	(30, 40.05305203932398)	(31, 40.06118712969049)	(32, 40.05067963633373)	(33, 40.03972447502972)	(34, 40.03057006354835)	(35, 40.014225271490794)	(36, 40.013464676365125)	(37, 40.00935241520076)	(38, 39.998562990970676)	(39, 39.999207731054376)	(40, 39.99164624171071)	(41, 39.97647634511896)	(42, 39.96529269192662)	(43, 39.95448378914416)	(44, 39.9100648136127)	(45, 39.91145812293321)	(46, 39.92468812508686)	(47, 39.89420867915174)	(48, 39.88089712114618)	(49, 39.87822695037263)	(50, 39.84589289218308)	(51, 39.84819009102328)	(52, 39.839696679982374)	(53, 39.82629306464449)	(54, 39.81259244372752)	(55, 39.81103754711163)	(56, 39.78988519425918)	(57, 39.741466086273554)	(58, 39.76234616283951)	(59, 39.7544226264897)	(60, 39.71414004858967)	(61, 39.72212989670693)	(62, 39.6945144754862)	(63, 39.700829676235124)	(64, 39.68530662501983)	(65, 39.68911493607774)	(66, 39.64572883195844)	(67, 39.65512088177882)	(68, 39.633800420550415)	(69, 39.64241459861606)	(70, 39.615008529488705)	(71, 39.603956314180245)	(72, 39.59127687754402)	(73, 39.59727390037432)	(74, 39.54614015970211)	(75, 39.025456520102416)
SRR15502584	(1, 30.688337726182368)	(2, 31.23268671640777)	(3, 34.20676426166166)	(4, 35.259717545323575)	(5, 35.673062196122565)	(6, 38.990577121066686)	(7, 38.88785169648752)	(8, 38.98627506145053)	(9, 39.00099836422264)	(10, 39.050598391398495)	(11, 39.214795074899094)	(12, 39.18404698983867)	(13, 39.10579011182167)	(14, 39.0524119441362)	(15, 39.03474824881236)	(16, 38.99445325143414)	(17, 38.80873703703058)	(18, 38.906740308585306)	(19, 38.98982394924386)	(20, 38.89504275841885)	(21, 38.882595607615514)	(22, 38.76878287015342)	(23, 38.67616651481868)	(24, 38.74760983138776)	(25, 38.53933635171129)	(26, 38.60384634145067)	(27, 38.53910413752376)	(28, 38.48558660648492)	(29, 38.39147261771413)	(30, 38.48859694201962)	(31, 38.549871872817)	(32, 38.56455955083191)	(33, 38.437613298051176)	(34, 38.43225016070337)	(35, 38.13681448473013)	(36, 37.925160224305316)	(37, 37.787711549215295)	(38, 37.710690737040515)	(39, 37.57847158468327)	(40, 37.508863683477955)	(41, 37.45519511740491)	(42, 37.427103123655364)	(43, 37.4005227867793)	(44, 37.34697868960123)	(45, 37.23440280190022)	(46, 37.21711364558854)	(47, 37.20981274791434)	(48, 37.15638501913633)	(49, 37.12251162377469)	(50, 37.04800083269603)	(51, 36.91710702582925)	(52, 36.85751455911532)	(53, 36.848388524124665)	(54, 36.77732157571175)	(55, 36.73515092180148)	(56, 36.64754555004102)	(57, 36.60236229594157)	(58, 36.60537045392386)	(59, 36.53984093415256)	(60, 36.3282462515613)	(61, 36.37046968934167)	(62, 36.30253240633476)	(63, 36.13774560613477)	(64, 36.1356290252056)	(65, 36.085904180726395)	(66, 35.97522711871493)	(67, 35.85033786902981)	(68, 35.786977975364046)	(69, 35.61596790461972)	(70, 35.53616522570766)	(71, 35.46181304754555)	(72, 35.299650023778874)	(73, 35.153777704999136)	(74, 34.982141892798225)	(75, 31.402451923998196)
SRR15502595	(1, 31.689930039596614)	(2, 31.50349235853313)	(3, 35.70677514942365)	(4, 36.32673999501776)	(5, 36.47216635106674)	(6, 40.02684042373428)	(7, 40.06888295046156)	(8, 40.15038525256995)	(9, 40.167977088664706)	(10, 40.227043807128084)	(11, 40.24632481416768)	(12, 40.213719189811144)	(13, 40.21534373100086)	(14, 40.203293765754594)	(15, 40.19797113088135)	(16, 40.13432101303221)	(17, 40.18849041615639)	(18, 40.192200791235436)	(19, 40.16702776292203)	(20, 40.16518903767862)	(21, 40.16087757103612)	(22, 40.16041532021344)	(23, 40.15262334092283)	(24, 40.144416320145496)	(25, 40.09901078149743)	(26, 40.08142382312003)	(27, 40.06052498175211)	(28, 40.03872263034393)	(29, 40.02385900609541)	(30, 40.02387189720559)	(31, 40.036460153404214)	(32, 40.018085966284524)	(33, 40.01628086245011)	(34, 40.00577608838424)	(35, 39.99484764972415)	(36, 39.99354024726543)	(37, 39.98227132651266)	(38, 39.9812482252948)	(39, 39.97562683023279)	(40, 39.969623318276284)	(41, 39.955379773848115)	(42, 39.938525866709405)	(43, 39.92877095458671)	(44, 39.8851652936473)	(45, 39.88429427268879)	(46, 39.90206048717944)	(47, 39.87121467356747)	(48, 39.856942211243485)	(49, 39.8531382885135)	(50, 39.81877468255641)	(51, 39.8177315478565)	(52, 39.810876177402584)	(53, 39.79842928790553)	(54, 39.78437536474003)	(55, 39.78547842568188)	(56, 39.760183454434284)	(57, 39.7147151151751)	(58, 39.73384822285594)	(59, 39.72571489045169)	(60, 39.68341140584525)	(61, 39.691301636299976)	(62, 39.66240751934973)	(63, 39.670316563857156)	(64, 39.654334200289526)	(65, 39.65607014505983)	(66, 39.61329064749956)	(67, 39.62159374188862)	(68, 39.60084515163604)	(69, 39.60899242037562)	(70, 39.581374697537974)	(71, 39.5695538108038)	(72, 39.556273963964124)	(73, 39.56248530152133)	(74, 39.51061251935844)	(75, 38.976899827363646)
SRR15502832	(1, 30.64368352722418)	(2, 31.1720575111775)	(3, 34.2320744588868)	(4, 35.22096804505285)	(5, 35.69915662826861)	(6, 38.9676302503482)	(7, 38.94452224752583)	(8, 39.06391687144836)	(9, 39.040739172203054)	(10, 39.08807167102988)	(11, 39.21409300683798)	(12, 39.16888291038458)	(13, 39.093657738047234)	(14, 39.059229130554)	(15, 39.04084885591709)	(16, 39.005629430346154)	(17, 38.84762163770089)	(18, 38.924422744441074)	(19, 38.98084361180518)	(20, 38.90122568924623)	(21, 38.87536734103645)	(22, 38.79229483162387)	(23, 38.73911406018425)	(24, 38.777631574505214)	(25, 38.623353403252324)	(26, 38.643830647445256)	(27, 38.58533291670527)	(28, 38.56010626266249)	(29, 38.492547096663834)	(30, 38.53506394027864)	(31, 38.557890831694394)	(32, 38.5663704631211)	(33, 38.46502136094082)	(34, 38.41720406309889)	(35, 38.20253412892788)	(36, 38.01032047225516)	(37, 37.88355850879664)	(38, 37.80757560355114)	(39, 37.67974838766066)	(40, 37.61622883833918)	(41, 37.5500309657681)	(42, 37.519023859958956)	(43, 37.4831571354245)	(44, 37.422624104083994)	(45, 37.30929802047905)	(46, 37.287590098006376)	(47, 37.27486978810112)	(48, 37.21952850257348)	(49, 37.18362974319231)	(50, 37.104130807206865)	(51, 36.97632827390319)	(52, 36.911382011045646)	(53, 36.89857962591252)	(54, 36.8290531302059)	(55, 36.78163375467534)	(56, 36.691519205715856)	(57, 36.64384512689588)	(58, 36.6386698111332)	(59, 36.580675635173364)	(60, 36.36986953864944)	(61, 36.410385067110006)	(62, 36.33657955614107)	(63, 36.17672747160658)	(64, 36.170326879224504)	(65, 36.115197533841965)	(66, 36.003165673048755)	(67, 35.88202968887562)	(68, 35.8120510291851)	(69, 35.645979833051186)	(70, 35.568527076009985)	(71, 35.49082869346965)	(72, 35.33065918636741)	(73, 35.18149458689865)	(74, 35.012639735138585)	(75, 31.421262360518064)
SRR15502843	(1, 31.6300106495234)	(2, 31.4893874254599)	(3, 35.728912799571766)	(4, 36.31580507058357)	(5, 36.459457650795414)	(6, 40.00092360889428)	(7, 40.08939447762756)	(8, 40.15385113999415)	(9, 40.16843307211554)	(10, 40.216682502784295)	(11, 40.24419008292674)	(12, 40.210870766401825)	(13, 40.18734923647156)	(14, 40.205488462016014)	(15, 40.19175309010607)	(16, 40.127706878901904)	(17, 40.18071262154205)	(18, 40.18663156587756)	(19, 40.159717493164464)	(20, 40.156800446537254)	(21, 40.15294411119618)	(22, 40.153355162543086)	(23, 40.14402777053597)	(24, 40.13851995257042)	(25, 40.09111423123683)	(26, 40.07113941647814)	(27, 40.04793088275509)	(28, 40.02803799317815)	(29, 40.0158969363208)	(30, 40.015933622597245)	(31, 40.026652467302135)	(32, 40.012447376012204)	(33, 40.009814891852386)	(34, 39.998355644566246)	(35, 39.98358938078592)	(36, 39.978075260883315)	(37, 39.976012051704394)	(38, 39.972669774371894)	(39, 39.965058684913274)	(40, 39.96143364566684)	(41, 39.946057294360855)	(42, 39.93014482826659)	(43, 39.922497427646825)	(44, 39.87770198364722)	(45, 39.879218649832495)	(46, 39.89538581921618)	(47, 39.86177098685709)	(48, 39.84846699754337)	(49, 39.843170969676805)	(50, 39.81224526388799)	(51, 39.81214953446315)	(52, 39.804806652444796)	(53, 39.791944173840434)	(54, 39.77801591764268)	(55, 39.77668448339308)	(56, 39.75412775001716)	(57, 39.70989632938424)	(58, 39.72940517591595)	(59, 39.722762559141614)	(60, 39.6819190298618)	(61, 39.69196154167887)	(62, 39.66056634157924)	(63, 39.67012818064953)	(64, 39.65231965675449)	(65, 39.652749688935636)	(66, 39.61038116591087)	(67, 39.62257841504032)	(68, 39.60148905769911)	(69, 39.61005691624463)	(70, 39.581039647061516)	(71, 39.570708896647105)	(72, 39.55737894935456)	(73, 39.562708362482915)	(74, 39.5122392995547)	(75, 38.97134269145979)
SRR15502854	(1, 30.547404896593356)	(2, 31.030015717358655)	(3, 33.94522841503651)	(4, 34.74989477665297)	(5, 35.48608927851832)	(6, 38.59593918517444)	(7, 38.58729279327852)	(8, 38.71346372911964)	(9, 38.78851820124101)	(10, 38.74621931170175)	(11, 38.89820852047173)	(12, 38.802808865176345)	(13, 38.77013497364752)	(14, 38.800519829159235)	(15, 38.70969708641216)	(16, 38.69669092205799)	(17, 38.56676103827959)	(18, 38.592741323013485)	(19, 38.54358354723213)	(20, 38.383886181489274)	(21, 38.28354184579406)	(22, 38.14093424839962)	(23, 38.15454492654815)	(24, 38.19089249109541)	(25, 38.101918601347975)	(26, 38.13120616155033)	(27, 37.987487249607696)	(28, 38.04586209517208)	(29, 38.05767588637165)	(30, 38.020929880299946)	(31, 38.22251198829383)	(32, 38.132580468586205)	(33, 38.144341766696044)	(34, 38.06445518971667)	(35, 37.9959857543452)	(36, 37.89392063614035)	(37, 37.83654242142612)	(38, 37.79371554416308)	(39, 37.69689857544506)	(40, 37.646841354815024)	(41, 37.58953133895431)	(42, 37.566024870129674)	(43, 37.52174368130244)	(44, 37.46941913866429)	(45, 37.36394565890053)	(46, 37.340511078202795)	(47, 37.32734353449044)	(48, 37.27459799305637)	(49, 37.22746193908419)	(50, 37.14587608278856)	(51, 37.0151740867968)	(52, 36.94213775261904)	(53, 36.9289230916153)	(54, 36.85617778840289)	(55, 36.80083563096009)	(56, 36.710314986998476)	(57, 36.66184552422098)	(58, 36.64483607662431)	(59, 36.58467077398742)	(60, 36.369803170941005)	(61, 36.39340682576711)	(62, 36.312586968031816)	(63, 36.146299611371944)	(64, 36.13745821502624)	(65, 36.075310613101365)	(66, 35.96309103345296)	(67, 35.83164549076454)	(68, 35.75692748037491)	(69, 35.59090617302924)	(70, 35.49732459165278)	(71, 35.416388996141336)	(72, 35.25834590057956)	(73, 35.09339753933899)	(74, 34.91745271906299)	(75, 31.515960060137264)
SRR15502865	(1, 31.62465332688659)	(2, 31.507981637537746)	(3, 35.784745444880514)	(4, 36.32682039552594)	(5, 36.46729474964749)	(6, 40.00413356729651)	(7, 40.03836970798769)	(8, 40.15313351596291)	(9, 40.16296479705887)	(10, 40.18401800449733)	(11, 40.24016579383729)	(12, 40.21389110508811)	(13, 40.19019669413699)	(14, 40.17222023528499)	(15, 40.171209374380396)	(16, 40.11319607760671)	(17, 40.16353378842101)	(18, 40.16581945138818)	(19, 40.139594831349086)	(20, 40.130161043107265)	(21, 40.1326809222298)	(22, 40.12928953132841)	(23, 40.1097700075356)	(24, 40.102526066561026)	(25, 40.055477711887356)	(26, 40.03622065354318)	(27, 40.01248660925525)	(28, 39.986452988169134)	(29, 39.9698261709253)	(30, 39.964201820962096)	(31, 39.97837759038377)	(32, 39.95763828740557)	(33, 39.95039824651999)	(34, 39.94212647398329)	(35, 39.918985137814914)	(36, 39.91186705376631)	(37, 39.904144561331165)	(38, 39.89507927879554)	(39, 39.890709914226505)	(40, 39.87673009792491)	(41, 39.85862419828137)	(42, 39.83633255447502)	(43, 39.82802726225453)	(44, 39.76891635394804)	(45, 39.76841398032226)	(46, 39.77485102450595)	(47, 39.730913359733776)	(48, 39.71111977563315)	(49, 39.70180235761434)	(50, 39.66042009439691)	(51, 39.65863933484298)	(52, 39.64501516449469)	(53, 39.6210618719605)	(54, 39.599156231556925)	(55, 39.593608407664284)	(56, 39.55598256259669)	(57, 39.50274571535696)	(58, 39.511252125680265)	(59, 39.4931194524528)	(60, 39.445806418766466)	(61, 39.44579535094635)	(62, 39.40167944156629)	(63, 39.39922639099573)	(64, 39.373280363800305)	(65, 39.35892392539109)	(66, 39.300663552709125)	(67, 39.2971594808581)	(68, 39.25383054619271)	(69, 39.25267000619692)	(70, 39.20804170944906)	(71, 39.17834116144439)	(72, 39.14963513613366)	(73, 39.139209460393175)	(74, 39.06287565367336)	(75, 38.38156162303996)
