Sample	Assigned	Unassigned: Unmapped	Unassigned: Multi Mapping	Unassigned: No Features
SRR15502495_aligned	6514566	426510	2082040	938675
SRR15502506_aligned	6729109	168838	2132143	962985
SRR15502562_aligned	8977079	513463	2169688	1489437
SRR15502573_aligned	9218994	220871	2226444	1521887
SRR15502584_aligned	8558596	550154	2277771	1500174
SRR15502595_aligned	8828743	222488	2348427	1535428
SRR15502832_aligned	10001932	648238	2422527	1747427
SRR15502843_aligned	10327645	256172	2496587	1790828
SRR15502854_aligned	7027938	502444	1760622	1288673
SRR15502865_aligned	7279916	185868	1831254	1328682
SRR15502965_aligned	7025750	404758	1808735	1062521
SRR15502976_aligned	7227959	166271	1834537	1085737
SRR15502988_aligned	6827913	438568	2190203	1016196
SRR15502999_aligned	7041339	182285	2248839	1035040
SRR15503143_aligned	9254299	547521	2221609	1339574
SRR15503154_aligned	9524810	239822	2260042	1367471
