Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR15502495_aligned	9961791	6514566	426510	0	0	0	0	0	0	2082040	0	0	938675	0	0	65.3955297797354
SRR15502506_aligned	9993075	6729109	168838	0	0	0	0	0	0	2132143	0	0	962985	0	0	67.33772137205014
SRR15502562_aligned	13149667	8977079	513463	0	0	0	0	0	0	2169688	0	0	1489437	0	0	68.26848923246499
SRR15502573_aligned	13188196	9218994	220871	0	0	0	0	0	0	2226444	0	0	1521887	0	0	69.90337419917023
SRR15502584_aligned	12886695	8558596	550154	0	0	0	0	0	0	2277771	0	0	1500174	0	0	66.41420472821
SRR15502595_aligned	12935086	8828743	222488	0	0	0	0	0	0	2348427	0	0	1535428	0	0	68.25422730084671
SRR15502832_aligned	14820124	10001932	648238	0	0	0	0	0	0	2422527	0	0	1747427	0	0	67.48885501902683
SRR15502843_aligned	14871232	10327645	256172	0	0	0	0	0	0	2496587	0	0	1790828	0	0	69.4471379371931
SRR15502854_aligned	10579677	7027938	502444	0	0	0	0	0	0	1760622	0	0	1288673	0	0	66.42866318130505
SRR15502865_aligned	10625720	7279916	185868	0	0	0	0	0	0	1831254	0	0	1328682	0	0	68.5122137605734
SRR15502965_aligned	10301764	7025750	404758	0	0	0	0	0	0	1808735	0	0	1062521	0	0	68.19948505906368
SRR15502976_aligned	10314504	7227959	166271	0	0	0	0	0	0	1834537	0	0	1085737	0	0	70.075681777815
SRR15502988_aligned	10472880	6827913	438568	0	0	0	0	0	0	2190203	0	0	1016196	0	0	65.19613516052891
SRR15502999_aligned	10507503	7041339	182285	0	0	0	0	0	0	2248839	0	0	1035040	0	0	67.01248622056067
SRR15503143_aligned	13363003	9254299	547521	0	0	0	0	0	0	2221609	0	0	1339574	0	0	69.25313868447085
SRR15503154_aligned	13392145	9524810	239822	0	0	0	0	0	0	2260042	0	0	1367471	0	0	71.12236314645637
