Sample	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_avg_gc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_1_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_5_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_10_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_30_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mqc_50_x_pc	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_median_coverage	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mean_coverage	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_general_error_rate	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_percentage_aligned	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_mapped_reads	QualiMap: BamQC_mqc_generalstats_qualimap_bamqc_total_reads	featureCounts_mqc_generalstats_featurecounts_Assigned	featureCounts_mqc_generalstats_featurecounts_percent_assigned	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR15502495															36.984719975352064	48.0	75.0	75	0.0	8.714630999999999
SRR15502495_aligned								2.3963	0.04	95.71854097320451	9.535281	9.961791	6.514565999999999	65.3955297797354						
SRR15502495_aligned_QC	48.641008399132126	3.6789004490162083	0.8681877092287003	0.4561666148388426	0.11922224299590298	0.05913348449312354	0													
SRR15502506															48.55083820476015	48.0	75.0	75	10.0	8.714630999999999
SRR15502506_aligned								2.3431	0.02	98.31044998661574	9.824237	9.993075	6.729108999999999	67.33772137205014						
SRR15502506_aligned_QC	48.747986984262255	3.6040314074814424	0.858500266040073	0.45844219907418393	0.1273656038834496	0.06432474006497353	0													
SRR15502562															35.869621386707124	49.0	75.0	75	0.0	11.807858999999999
SRR15502562_aligned								3.7073	0.03	96.09523952203504	12.636204	13.149666999999999	8.977079	68.26848923246499						
SRR15502562_aligned_QC	49.11545976283916	4.8040729945594896	1.1830487645231975	0.6682853149792513	0.18876902791091357	0.09194862387707842	0													
SRR15502573															44.76551543050293	48.0	75.0	75	10.0	11.807858999999999
SRR15502573_aligned								3.3686	0.02	98.3252372045426	12.967324999999999	13.188196	9.218994	69.90337419917023						
SRR15502573_aligned_QC	49.011950229309925	4.751833156144642	1.185354038419648	0.6744441236181294	0.19776943034913835	0.09755263904614793	0													
