Sample	total_reads	mapped_reads	mapped_bases	sequenced_bases	duplication_rate	mean_insert_size	median_insert_size	mean_mapping_quality	gc_percentage	general_error_rate	homopolymer_indels	mean_coverage	percentage_aligned
SRR15502495_aligned	9961791	9535281	6537764862	713865356	31.87	0.0	0.0	4.8533	48.19	0.04	67.92	2.3963	95.71854097320451
SRR15502506_aligned	9993075	9824237	6392563680	735339424	35.95	0.0	0.0	5.7673	48.3	0.02	73.81	2.3431	98.31044998661574
SRR15502562_aligned	13149667	12636204	10114205307	946002733	33.33	0.0	0.0	4.5751	48.67	0.03	69.8	3.7073	96.09523952203504
SRR15502573_aligned	13188196	12967325	9190243573	970395528	36.47	0.0	0.0	5.2067	48.57	0.02	73.06	3.3686	98.3252372045426
SRR15502584_aligned	12886695	12336541	9486068299	923540433	32.69	0.0	0.0	4.755	48.49	0.04	69.0	3.477	95.73083711533485
SRR15502595_aligned	12935086	12712598	9065823247	951255914	35.85	0.0	0.0	5.4508	48.41	0.02	74.11	3.323	98.27996505009708
SRR15502832_aligned	14820124	14171886	11485446373	1060953097	35.2	0.0	0.0	4.5382	48.86	0.03	70.3	4.2099	95.6259610243477
SRR15502843_aligned	14871232	14615060	10443129828	1093628828	37.94	0.0	0.0	5.0366	48.78	0.02	74.2	3.8278	98.27739894045094
SRR15502854_aligned	10579677	10077233	7985229333	754392280	31.05	0.0	0.0	4.5791	48.38	0.04	69.83	2.9269	95.25085690234211
SRR15502865_aligned	10625720	10439852	7320488298	781173812	34.29	0.0	0.0	5.1758	48.35	0.02	74.27	2.6832	98.25077265352371
SRR15502965_aligned	10301764	9897006	8060389443	740927801	31.64	0.0	0.0	4.4768	48.72	0.03	69.35	2.9544	96.07098357135729
SRR15502976_aligned	10314504	10148233	7472726405	759641796	36.11	0.0	0.0	5.0746	48.81	0.02	74.16	2.739	98.38798840933117
SRR15502988_aligned	10472880	10034312	6666553597	751196314	31.72	0.0	0.0	5.0238	48.21	0.04	68.22	2.4436	95.81234579217941
SRR15502999_aligned	10507503	10325218	7333432040	772894843	36.63	0.0	0.0	5.8292	48.37	0.02	75.56	2.688	98.26519202516526
SRR15503143_aligned	13363003	12815482	11048053921	959412085	35.59	0.0	0.0	4.3084	48.86	0.03	71.14	4.0495	95.90270989237973
SRR15503154_aligned	13392145	13152323	10142839467	984145261	38.52	0.0	0.0	4.8814	48.78	0.02	74.51	3.7177	98.20923384566102
