Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
SRR15502495_aligned_QC	(0, 2627853863.0)	(1, 47514207.0)	(2, 16252816.0)	(3, 7996640.0)	(4, 4918833.0)	(5, 3453304.0)	(6, 2612827.0)	(7, 2067154.0)	(8, 1695730.0)	(9, 1411837.0)	(10, 1198697.0)	(11, 1019426.0)	(12, 879486.0)	(13, 764011.0)	(14, 671234.0)	(15, 590255.0)	(16, 521443.0)	(17, 464600.0)	(18, 412190.0)	(19, 372906.0)	(20, 333870.0)
SRR15502506_aligned_QC	(0, 2629896457.0)	(1, 45895442.0)	(2, 16183262.0)	(3, 7964178.0)	(4, 4861315.0)	(5, 3369337.0)	(6, 2546968.0)	(7, 1996976.0)	(8, 1634933.0)	(9, 1366260.0)	(10, 1148750.0)	(11, 990406.0)	(12, 851338.0)	(13, 737493.0)	(14, 655504.0)	(15, 575811.0)	(16, 512978.0)	(17, 457445.0)	(18, 409539.0)	(19, 369720.0)	(20, 333136.0)
SRR15502562_aligned_QC	(0, 2597156653.0)	(1, 60915192.0)	(2, 21359880.0)	(3, 10330370.0)	(4, 6184154.0)	(5, 4269321.0)	(6, 3213622.0)	(7, 2583724.0)	(8, 2153016.0)	(9, 1824209.0)	(10, 1572916.0)	(11, 1363438.0)	(12, 1199963.0)	(13, 1057075.0)	(14, 937198.0)	(15, 834562.0)	(16, 750789.0)	(17, 674267.0)	(18, 610142.0)	(19, 551662.0)	(20, 503372.0)
SRR15502573_aligned_QC	(0, 2598581872.0)	(1, 59363178.0)	(2, 21338737.0)	(3, 10409033.0)	(4, 6190536.0)	(5, 4271549.0)	(6, 3206828.0)	(7, 2551521.0)	(8, 2115428.0)	(9, 1793433.0)	(10, 1544266.0)	(11, 1341450.0)	(12, 1179310.0)	(13, 1043276.0)	(14, 928086.0)	(15, 834129.0)	(16, 748391.0)	(17, 669953.0)	(18, 611012.0)	(19, 556854.0)	(20, 501869.0)
SRR15502584_aligned_QC	(0, 2598465689.0)	(1, 61874117.0)	(2, 21084122.0)	(3, 10058219.0)	(4, 5997464.0)	(5, 4128013.0)	(6, 3103311.0)	(7, 2479576.0)	(8, 2051141.0)	(9, 1728388.0)	(10, 1488253.0)	(11, 1293359.0)	(12, 1137131.0)	(13, 1004135.0)	(14, 896334.0)	(15, 797616.0)	(16, 718600.0)	(17, 645544.0)	(18, 583607.0)	(19, 525923.0)	(20, 480670.0)
SRR15502595_aligned_QC	(0, 2599624221.0)	(1, 60384667.0)	(2, 21160451.0)	(3, 10171258.0)	(4, 6034717.0)	(5, 4127160.0)	(6, 3091810.0)	(7, 2459023.0)	(8, 2029500.0)	(9, 1703481.0)	(10, 1466042.0)	(11, 1279789.0)	(12, 1116473.0)	(13, 987022.0)	(14, 878928.0)	(15, 787367.0)	(16, 706995.0)	(17, 640101.0)	(18, 581016.0)	(19, 525812.0)	(20, 478399.0)
SRR15502832_aligned_QC	(0, 2586406314.0)	(1, 66075349.0)	(2, 23616606.0)	(3, 11315760.0)	(4, 6606159.0)	(5, 4473954.0)	(6, 3345604.0)	(7, 2651622.0)	(8, 2181959.0)	(9, 1851977.0)	(10, 1608928.0)	(11, 1397007.0)	(12, 1238091.0)	(13, 1099118.0)	(14, 979048.0)	(15, 885290.0)	(16, 798631.0)	(17, 720332.0)	(18, 654328.0)	(19, 596055.0)	(20, 545339.0)
SRR15502843_aligned_QC	(0, 2586974976.0)	(1, 64901121.0)	(2, 23752247.0)	(3, 11448199.0)	(4, 6695070.0)	(5, 4495199.0)	(6, 3349206.0)	(7, 2639557.0)	(8, 2179327.0)	(9, 1838533.0)	(10, 1587110.0)	(11, 1387314.0)	(12, 1224371.0)	(13, 1090122.0)	(14, 975145.0)	(15, 877669.0)	(16, 795365.0)	(17, 717929.0)	(18, 654926.0)	(19, 596956.0)	(20, 546067.0)
SRR15502854_aligned_QC	(0, 2606751141.0)	(1, 58266476.0)	(2, 19785878.0)	(3, 9502728.0)	(4, 5731195.0)	(5, 3988652.0)	(6, 3050663.0)	(7, 2441155.0)	(8, 2009998.0)	(9, 1699264.0)	(10, 1446437.0)	(11, 1248815.0)	(12, 1082837.0)	(13, 947789.0)	(14, 831754.0)	(15, 734829.0)	(16, 653941.0)	(17, 578990.0)	(18, 521777.0)	(19, 465939.0)	(20, 417104.0)
SRR15502865_aligned_QC	(0, 2607262553.0)	(1, 57164527.0)	(2, 19991675.0)	(3, 9630126.0)	(4, 5768720.0)	(5, 3992543.0)	(6, 3031465.0)	(7, 2408687.0)	(8, 1986151.0)	(9, 1668801.0)	(10, 1428541.0)	(11, 1227818.0)	(12, 1069681.0)	(13, 942845.0)	(14, 834425.0)	(15, 732188.0)	(16, 654682.0)	(17, 586099.0)	(18, 529002.0)	(19, 472713.0)	(20, 424079.0)
SRR15502965_aligned_QC	(0, 2619480486.0)	(1, 51929168.0)	(2, 17421535.0)	(3, 8438799.0)	(4, 5154523.0)	(5, 3611895.0)	(6, 2746488.0)	(7, 2186532.0)	(8, 1813221.0)	(9, 1517415.0)	(10, 1295059.0)	(11, 1114168.0)	(12, 959885.0)	(13, 835801.0)	(14, 735205.0)	(15, 649200.0)	(16, 577079.0)	(17, 518069.0)	(18, 463659.0)	(19, 417109.0)	(20, 378828.0)
SRR15502976_aligned_QC	(0, 2621932814.0)	(1, 50073818.0)	(2, 17328016.0)	(3, 8397955.0)	(4, 5098324.0)	(5, 3537931.0)	(6, 2683616.0)	(7, 2122338.0)	(8, 1734579.0)	(9, 1451858.0)	(10, 1229514.0)	(11, 1060820.0)	(12, 920505.0)	(13, 806216.0)	(14, 709971.0)	(15, 628804.0)	(16, 565766.0)	(17, 508084.0)	(18, 456965.0)	(19, 415452.0)	(20, 372555.0)
SRR15502988_aligned_QC	(0, 2624879419.0)	(1, 49392553.0)	(2, 16562093.0)	(3, 8111355.0)	(4, 4965746.0)	(5, 3468585.0)	(6, 2621380.0)	(7, 2085269.0)	(8, 1711511.0)	(9, 1430987.0)	(10, 1209419.0)	(11, 1037288.0)	(12, 896357.0)	(13, 790669.0)	(14, 690788.0)	(15, 608998.0)	(16, 540852.0)	(17, 482942.0)	(18, 435159.0)	(19, 388531.0)	(20, 350056.0)
SRR15502999_aligned_QC	(0, 2628320086.0)	(1, 47108182.0)	(2, 16291268.0)	(3, 8040946.0)	(4, 4861607.0)	(5, 3356196.0)	(6, 2502948.0)	(7, 1990166.0)	(8, 1613165.0)	(9, 1335914.0)	(10, 1130625.0)	(11, 970502.0)	(12, 843289.0)	(13, 736444.0)	(14, 651829.0)	(15, 575915.0)	(16, 515001.0)	(17, 458969.0)	(18, 416861.0)	(19, 370831.0)	(20, 340070.0)
SRR15503143_aligned_QC	(0, 2606248588.0)	(1, 56014808.0)	(2, 19607996.0)	(3, 9456058.0)	(4, 5662623.0)	(5, 3941623.0)	(6, 3000363.0)	(7, 2422703.0)	(8, 2020515.0)	(9, 1725134.0)	(10, 1489662.0)	(11, 1305735.0)	(12, 1155012.0)	(13, 1025526.0)	(14, 912124.0)	(15, 820362.0)	(16, 736304.0)	(17, 666509.0)	(18, 598167.0)	(19, 546094.0)	(20, 498878.0)
SRR15503154_aligned_QC	(0, 2607221921.0)	(1, 54721280.0)	(2, 19723367.0)	(3, 9561747.0)	(4, 5694214.0)	(5, 3965699.0)	(6, 2986541.0)	(7, 2394166.0)	(8, 1990175.0)	(9, 1700957.0)	(10, 1465952.0)	(11, 1286138.0)	(12, 1133491.0)	(13, 1013638.0)	(14, 900657.0)	(15, 807823.0)	(16, 728968.0)	(17, 661271.0)	(18, 600665.0)	(19, 542726.0)	(20, 496680.0)
