Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
SRR15502495_aligned_QC	(0, 100.0)	(1, 3.6789004490162083)	(2, 1.9373193333493317)	(3, 1.3415901986505572)	(4, 1.0484821349342381)	(5, 0.8681877092287003)	(6, 0.7416106407519626)	(7, 0.645840334373819)	(8, 0.5700710729911078)	(9, 0.5079159507290485)	(10, 0.4561666148388426)	(11, 0.412229691749575)	(12, 0.3748637504339634)	(13, 0.3426271562487043)	(14, 0.31462317146659974)	(15, 0.2900198258063525)	(16, 0.26838467652504483)	(17, 0.24927175558969844)	(18, 0.23224235244005034)	(19, 0.2171339803258587)	(20, 0.20346552012154817)
SRR15502506_aligned_QC	(0, 100.0)	(1, 3.6040314074814424)	(2, 1.9217843464627364)	(3, 1.328604637305655)	(4, 1.036686432575655)	(5, 0.858500266040073)	(6, 0.7350009158032547)	(7, 0.6416445987966837)	(8, 0.5684476349908902)	(9, 0.5085209600454241)	(10, 0.45844219907418393)	(11, 0.41633602845826007)	(12, 0.3800337833962059)	(13, 0.3488289232614339)	(14, 0.32179692666857246)	(15, 0.29777014689628034)	(16, 0.2766644265841796)	(17, 0.25786178093437295)	(18, 0.24109463645785387)	(19, 0.22608343383946444)	(20, 0.2125317529688491)
SRR15502562_aligned_QC	(0, 100.0)	(1, 4.8040729945594896)	(2, 2.571293479909861)	(3, 1.788370518764564)	(4, 1.4097221429250675)	(5, 1.1830487645231975)	(6, 1.026561488405551)	(7, 0.9087697006126573)	(8, 0.8140661327619871)	(9, 0.7351496939939228)	(10, 0.6682853149792513)	(11, 0.6106318051115547)	(12, 0.5606564814534619)	(13, 0.5166731545234982)	(14, 0.47792723042876245)	(15, 0.4435752662164424)	(16, 0.4129853119517489)	(17, 0.3854659650698696)	(18, 0.3607514481230255)	(19, 0.3383873626806394)	(20, 0.3181667974625138)
SRR15502573_aligned_QC	(0, 100.0)	(1, 4.751833156144642)	(2, 2.575941011490489)	(3, 1.7937930238079403)	(4, 1.4122613420279342)	(5, 1.185354038419648)	(6, 1.0287850974070003)	(7, 0.9112423362283958)	(8, 0.8177191340032705)	(9, 0.7401804421262714)	(10, 0.6744441236181294)	(11, 0.6178407480600269)	(12, 0.5686713704123828)	(13, 0.525445056532892)	(14, 0.4872049196401837)	(15, 0.453186945788388)	(16, 0.4226128626635219)	(17, 0.39518141184008604)	(18, 0.37062501982907403)	(19, 0.3482290454914228)	(20, 0.3278181732109791)
SRR15502584_aligned_QC	(0, 100.0)	(1, 4.75609171651084)	(2, 2.488163858307022)	(3, 1.7153485040358976)	(4, 1.3466755244438826)	(5, 1.1268450631190852)	(6, 0.9755372766705526)	(7, 0.8617888175277684)	(8, 0.7709026803254615)	(9, 0.6957203578851423)	(10, 0.6323681924718535)	(11, 0.5778179119602883)	(12, 0.5304112571427556)	(13, 0.4887309682211834)	(14, 0.45192550173028395)	(15, 0.41907136259395883)	(16, 0.38983562341485917)	(17, 0.36349612900388817)	(18, 0.33983442210152826)	(19, 0.3184429479647296)	(20, 0.2991658175457189)
SRR15502595_aligned_QC	(0, 100.0)	(1, 4.713626997419647)	(2, 2.500293294448811)	(3, 1.7246801844458541)	(4, 1.3518638843574269)	(5, 1.1306679551989363)	(6, 0.9793914345293246)	(7, 0.8660645319203848)	(8, 0.7759317423782904)	(9, 0.7015426470442164)	(10, 0.6391034203830763)	(11, 0.5853672597022405)	(12, 0.5384579983430391)	(13, 0.4975349057414527)	(14, 0.4613566974858092)	(15, 0.42914055617820296)	(16, 0.4002804828468879)	(17, 0.37436635697563214)	(18, 0.3509041572651438)	(19, 0.3296076533899911)	(20, 0.3103345915541694)
SRR15502832_aligned_QC	(0, 100.0)	(1, 5.198114873221531)	(2, 2.7761954664744457)	(3, 1.9105546903220614)	(4, 1.4957879253959705)	(5, 1.2536464168258543)	(6, 1.0896585426567182)	(7, 0.967029099490392)	(8, 0.8698368049607403)	(9, 0.789859492289619)	(10, 0.7219773077074498)	(11, 0.6630038174991911)	(12, 0.611798058984597)	(13, 0.566417192056162)	(14, 0.5261302279342617)	(15, 0.4902442978979796)	(16, 0.45779496446200896)	(17, 0.4285220215717666)	(18, 0.4021190426014862)	(19, 0.3781353678186559)	(20, 0.3562876259022472)
SRR15502843_aligned_QC	(0, 100.0)	(1, 5.177271191659144)	(2, 2.7983918236585175)	(3, 1.9277792755030736)	(4, 1.5081581043700605)	(5, 1.2627576606655526)	(6, 1.0979910743356023)	(7, 0.9752296038120977)	(8, 0.8784795386173588)	(9, 0.7985986990178903)	(10, 0.7312092895023243)	(11, 0.6730355141410718)	(12, 0.6221850419044147)	(13, 0.5773070665197014)	(14, 0.5373498409056234)	(15, 0.5016069710512033)	(16, 0.469436977006975)	(17, 0.4402837457626361)	(18, 0.4139688461203122)	(19, 0.38996325230372497)	(20, 0.3680824852210704)
SRR15502854_aligned_QC	(0, 100.0)	(1, 4.45239756587576)	(2, 2.316703829514817)	(3, 1.591474184375444)	(4, 1.2431621177946242)	(5, 1.0330914544621934)	(6, 0.8868917925344058)	(7, 0.7750730880558977)	(8, 0.685595230445525)	(9, 0.611920959520027)	(10, 0.5496363023661666)	(11, 0.49661874144587487)	(12, 0.45084479806591843)	(13, 0.4111545961323078)	(14, 0.3764144304375127)	(15, 0.34592740033133024)	(16, 0.3189930497350049)	(17, 0.29502356001248226)	(18, 0.27380131694400456)	(19, 0.2546761536051885)	(20, 0.2375976708799542)
SRR15502865_aligned_QC	(0, 100.0)	(1, 4.433652320237431)	(2, 2.338349315196659)	(3, 1.605576406863166)	(4, 1.2525947063984484)	(5, 1.0411486053708163)	(6, 0.8948063231079979)	(7, 0.7836913002516743)	(8, 0.6954035215510365)	(9, 0.6226033362409273)	(10, 0.5614352669220813)	(11, 0.5090736642427843)	(12, 0.4640693428557963)	(13, 0.4248613596648391)	(14, 0.3903024108645164)	(15, 0.35971747818447963)	(16, 0.3328799305449305)	(17, 0.30888328028057854)	(18, 0.2874004646184916)	(19, 0.2680104768333644)	(20, 0.250683700571893)
