#Duplication rate	Coverage
1.0	2632581.0
2.0	772877.0
3.0	294769.0
4.0	137959.0
5.0	74884.0
6.0	45495.0
7.0	30412.0
8.0	21318.0
9.0	15319.0
10.0	11783.0
11.0	9293.0
12.0	7487.0
13.0	6154.0
14.0	4995.0
15.0	4185.0
16.0	3625.0
17.0	2963.0
18.0	2545.0
19.0	2323.0
20.0	2069.0
21.0	1795.0
22.0	1623.0
23.0	1358.0
24.0	1244.0
25.0	1172.0
26.0	1025.0
27.0	905.0
28.0	791.0
29.0	799.0
30.0	749.0
31.0	671.0
32.0	594.0
33.0	614.0
34.0	528.0
35.0	519.0
36.0	478.0
37.0	454.0
38.0	400.0
39.0	366.0
40.0	364.0
41.0	342.0
42.0	333.0
43.0	310.0
44.0	274.0
45.0	245.0
46.0	226.0
47.0	246.0
48.0	241.0
49.0	202.0
50.0	8556.0
