#Read position (bp)	Clipping profile
0.0	18.464983822951492
1.0	10.390456348885909
2.0	6.814951791857103
3.0	4.902641623195896
4.0	3.379078581157103
5.0	2.5240636961191236
6.0	1.904369687279618
7.0	1.370877005980932
8.0	0.9625478447649348
9.0	0.6819393078053586
10.0	0.44520529508982165
11.0	0.28612649859763023
12.0	0.1740176682439962
13.0	0.07725146293275624
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.024225197435359096
62.0	0.06042840915820131
63.0	0.11083027826676788
64.0	0.19682972916229266
65.0	0.39480342598125506
66.0	0.6470819403844809
67.0	1.026004403602556
68.0	1.5036445463697197
69.0	2.086395129120302
70.0	3.0984027519824284
71.0	4.4998304236179525
72.0	6.224193435509832
73.0	9.720764224228427
74.0	18.028055470318748
