#Mapping quality	mapping quality
0.0	2215443.0
1.0	1.2296577E7
2.0	26788.0
3.0	19940.0
4.0	17749.0
5.0	15807.0
6.0	15617.0
7.0	12819.0
8.0	14362.0
9.0	14553.0
10.0	19378.0
11.0	6900.0
12.0	25801.0
13.0	6272.0
14.0	8361.0
15.0	38674.0
16.0	5164.0
17.0	12010.0
18.0	7361.0
19.0	5803.0
20.0	74619.0
21.0	4763.0
22.0	7425.0
23.0	10058.0
24.0	20230.0
25.0	7582.0
26.0	12588.0
27.0	10110.0
28.0	7180.0
29.0	4150.0
30.0	176449.0
31.0	4714.0
32.0	8198.0
33.0	11691.0
34.0	12892.0
35.0	7782.0
36.0	28103.0
37.0	13200.0
38.0	11102.0
39.0	7090.0
40.0	75764.0
41.0	10824.0
42.0	12151.0
43.0	24005.0
44.0	10226.0
45.0	50292.0
46.0	22325.0
47.0	11296.0
48.0	39104.0
49.0	19750.0
50.0	37977.0
51.0	29018.0
52.0	31495.0
53.0	30631.0
54.0	34030.0
55.0	33755.0
56.0	32843.0
57.0	30255.0
58.0	23424.0
59.0	13033.0
60.0	8.7545529E7
