Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
SRR15502495	(1, 2.418599249928081)	(2, 0.04188358635035723)	(3, 0.0010556958751322919)	(4, 0.0018359928263170294)	(5, 0.0013081448887508835)	(6, 0.0016753434540142892)	(7, 0.007068572381320562)	(8, 0.004211308545364686)	(9, 0.0009753711889809219)	(10, 0.00312118780473895)	(11, 0.0036949355629630216)	(12, 0.00042457334108581305)	(13, 0.005771902447734161)	(14, 0.007102997246814007)	(15, 0.0022031913915804354)	(16, 0.0036375607871406146)	(17, 0.29911765627253756)	(18, 0.005244054510168015)	(19, 0.003017913208258617)	(20, 0.007504620677570857)	(21, 0.002283516077731805)	(22, 0.004647356841614981)	(23, 0.003063813028916543)	(24, 0.011119231554382509)	(25, 0.004934230720727017)	(26, 0.009512737831355108)	(27, 0.002088441839935621)	(28, 0.009466838010697183)	(29, 0.0032244624012192826)	(30, 0.010545483796158437)	(31, 0.006598099219576824)	(32, 0.003178562580561357)	(33, 0.013402747632114314)	(34, 0.005714527671911754)	(35, 0.00424573341085813)	(36, 0.006437449847274085)	(37, 0.005473553613457643)	(38, 0.013322422945962946)	(39, 0.005175204779181127)	(40, 0.0006081726237175159)	(41, 0.018956625931723328)	(42, 0.01192247841589621)	(43, 0.003017913208258617)	(44, 0.00776854464635393)	(45, 0.006425974892109603)	(46, 0.011256931016356287)	(47, 0.0035572361009892444)	(48, 0.011647079491948655)	(49, 0.004153933769542279)	(50, 0.013896170704187017)	(51, 0.010924157316586325)	(52, 0.0019966421986197694)	(53, 0.007470195812077413)	(54, 0.010350409558362254)	(55, 0.009811086665631626)	(56, 0.009111114400598258)	(57, 0.004509657379641203)	(58, 0.00400475935240402)	(59, 0.012943749425535058)	(60, 0.29645546667437783)	(61, 0.012255252115666172)	(62, 0.001296669933586402)	(63, 0.002937588522107247)	(64, 0.0033506869080285784)	(65, 0.0014687942610536234)	(66, 0.0077226448256960045)	(67, 0.0008376717270071446)	(68, 0.004027709262732983)	(69, 0.002776939149804507)	(70, 0.001273720023257439)	(71, 0.0014458443507246606)	(72, 0.00408508403855539)	(73, 2.2949910328962866e-05)	(74, 0.004555557200299129)	(75, 0.001560593902369475)
SRR15502506	(1, 0.2852903352993374)	(2, 0.49614263644668377)	(3, 0.011979853191718617)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0005278479375661459)	(8, 0.00011474955164481434)	(9, 0.0)	(10, 0.0013310947990798465)	(11, 0.00016064937230274006)	(12, 4.589982065792573e-05)	(13, 0.0)	(14, 0.0003098237894409987)	(15, 0.004188358635035723)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0009868461441454033)	(20, 0.00019507423779618438)	(21, 0.0007802969511847375)	(22, 0.0)	(23, 0.0007573470408557746)	(24, 0.00018359928263170293)	(25, 0.0005393228927306273)	(26, 0.00011474955164481434)	(27, 0.007711169870531523)	(28, 0.00022949910328962867)	(29, 0.0003098237894409987)	(30, 0.004830956124246683)	(31, 0.008101318346123891)	(32, 0.0005507978478951088)	(33, 0.0004934230720727016)	(34, 0.012037227967541024)	(35, 0.0054391287479642)	(36, 0.003075287984081024)	(37, 0.008204592942604226)	(38, 0.0017786180504946222)	(39, 0.006185000833655493)	(40, 0.01088973245109288)	(41, 0.009375038369381332)	(42, 0.01673048462981393)	(43, 0.006586624264412343)	(44, 0.010384834423855698)	(45, 0.005817802268392087)	(46, 0.006598099219576824)	(47, 0.005026030362042868)	(48, 0.012760150142903355)	(49, 0.011429055343823508)	(50, 0.019014000707545733)	(51, 0.01673048462981393)	(52, 0.02296138528412735)	(53, 0.01177330399875795)	(54, 0.02032214559629662)	(55, 0.013035549066850907)	(56, 0.02202043896063987)	(57, 0.014917441713825863)	(58, 0.01296669933586402)	(59, 0.011027431913066658)	(60, 0.0140912449419832)	(61, 0.011061856778560102)	(62, 0.015353490010076156)	(63, 0.02073524398221795)	(64, 0.01889925115590092)	(65, 0.010465159110007068)	(66, 0.01113070650954699)	(67, 0.008204592942604226)	(68, 0.01032745964803329)	(69, 0.013620771780239462)	(70, 0.0043375330521739815)	(71, 0.004406382783160871)	(72, 0.0038211600697723174)	(73, 0.002593339867172804)	(74, 0.008457041956222816)	(75, 0.00488833090006909)
SRR15502562	(1, 2.3330647833785956)	(2, 0.043725115620029)	(3, 0.0015582841902160248)	(4, 0.0018970416228716823)	(5, 0.001371967602255413)	(6, 0.0017361318423602448)	(7, 0.006834431203827892)	(8, 0.0042598747156448935)	(9, 0.0012279956933767587)	(10, 0.003336760711658227)	(11, 0.00394652409043841)	(12, 0.000482729341534312)	(13, 0.005775814226778962)	(14, 0.006876775882909849)	(15, 0.00229508160624208)	(16, 0.0037093938875794505)	(17, 0.2995801355690308)	(18, 0.004869638094425078)	(19, 0.003006472214818961)	(20, 0.007596635427303121)	(21, 0.0023543641569568202)	(22, 0.0047934176720775545)	(23, 0.002972596471553395)	(24, 0.011204402085085873)	(25, 0.00488657596605786)	(26, 0.009866310226096027)	(27, 0.0021765165048125996)	(28, 0.009569897472522326)	(29, 0.00329441603257627)	(30, 0.010899520395695781)	(31, 0.006741272909847586)	(32, 0.00341298113400575)	(33, 0.013448670076429605)	(34, 0.005750407419329787)	(35, 0.004310688330543242)	(36, 0.006622707808418105)	(37, 0.005911317199841224)	(38, 0.014083840262658963)	(39, 0.0051152372331004295)	(40, 0.0006859838011277065)	(41, 0.019283766853923308)	(42, 0.012110578217439757)	(43, 0.0030488168939009183)	(44, 0.008155585191184955)	(45, 0.0071562507648507655)	(46, 0.011407656544679269)	(47, 0.004056620256051499)	(48, 0.012330770548665933)	(49, 0.0046240389557497255)	(50, 0.014558100668376884)	(51, 0.011085836983656394)	(52, 0.0019055105586880737)	(53, 0.007461132454240858)	(54, 0.010848706780797433)	(55, 0.009544490665073152)	(56, 0.009586835344155109)	(57, 0.004928920645139817)	(58, 0.004192123229113762)	(59, 0.012813499890200248)	(60, 0.29336393667979943)	(61, 0.012906658184180552)	(62, 0.0015328773827668505)	(63, 0.0029810654073697865)	(64, 0.00382795898900893)	(65, 0.001371967602255413)	(66, 0.008316494971696392)	(67, 0.0008807693249047097)	(68, 0.004996672131670949)	(69, 0.0026846526537960863)	(70, 0.0013380918589898474)	(71, 0.0018462280079733335)	(72, 0.004166716421664589)	(73, 8.46893581639144e-06)	(74, 0.00482729341534312)	(75, 0.001448188024602936)
SRR15502573	(1, 0.2305159639863586)	(2, 0.4947298235861387)	(3, 0.011661724619171011)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00044885359826874626)	(8, 0.00016937871632782876)	(9, 0.0)	(10, 0.001329622923173456)	(11, 9.315829398030583e-05)	(12, 5.928255071474007e-05)	(13, 0.0)	(14, 0.0002879438177573089)	(15, 0.004158247485848196)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0009485208114358412)	(20, 0.00018631658796061166)	(21, 0.0007283284802096638)	(22, 8.46893581639144e-06)	(23, 0.0007198595443932723)	(24, 0.0002794748819409175)	(25, 0.0006605769936785322)	(26, 5.928255071474007e-05)	(27, 0.007638980106385078)	(28, 0.0002371302028589603)	(29, 0.00044885359826874626)	(30, 0.0043445640738088084)	(31, 0.008426591137309482)	(32, 0.00044885359826874626)	(33, 0.0005928255071474007)	(34, 0.012085171409990584)	(35, 0.005606435510451133)	(36, 0.0032605402893107036)	(37, 0.008435060073125873)	(38, 0.001642973548379939)	(39, 0.006715866102398411)	(40, 0.011221339956718656)	(41, 0.009696931509768199)	(42, 0.017793234150238414)	(43, 0.006106102723618228)	(44, 0.011162057406003916)	(45, 0.006106102723618228)	(46, 0.006749741845663976)	(47, 0.0052676780777954745)	(48, 0.013736613894186914)	(49, 0.011805696528049666)	(50, 0.020325445959339453)	(51, 0.017234284386356578)	(52, 0.023662206670997683)	(53, 0.012500149264993763)	(54, 0.021206215284244163)	(55, 0.013448670076429605)	(56, 0.02229023906874227)	(57, 0.015379587442566853)	(58, 0.014007619840311441)	(59, 0.01130602931488257)	(60, 0.01460044534745884)	(61, 0.011746413977334925)	(62, 0.01577762742593725)	(63, 0.021290904642408078)	(64, 0.019766496195457617)	(65, 0.010509949348141777)	(66, 0.012085171409990584)	(67, 0.007766014143630949)	(68, 0.010332101695997556)	(69, 0.014100778134291746)	(70, 0.004395377688707157)	(71, 0.004513942790136637)	(72, 0.0040227445127859335)	(73, 0.0028201556268583495)	(74, 0.008875444735578228)	(75, 0.005166050847998778)
SRR15502584	(1, 2.3393184086795493)	(2, 0.042026761247929145)	(3, 0.0012804008090042663)	(4, 0.001715911288257418)	(5, 0.0014023437431951488)	(6, 0.0015678377253113465)	(7, 0.007107531021411437)	(8, 0.004529308984232779)	(9, 0.0011236170364731317)	(10, 0.0034056919477596474)	(11, 0.0036844186544816642)	(12, 0.00043551047925315177)	(13, 0.005844550631577297)	(14, 0.006872355362614735)	(15, 0.002229813653776137)	(16, 0.0036147369778011603)	(17, 0.3004325490079942)	(18, 0.005409040152324145)	(19, 0.0030311529356019363)	(20, 0.007638853806100282)	(21, 0.00243885868381765)	(22, 0.004790615271784669)	(23, 0.0033534306902492685)	(24, 0.01093131302925411)	(25, 0.005069341978506687)	(26, 0.0101561043761835)	(27, 0.0021514217675105696)	(28, 0.009485418238133645)	(29, 0.0035363450915355922)	(30, 0.010940023238839174)	(31, 0.006793963476349168)	(32, 0.0036060267682160967)	(33, 0.013213387940540626)	(34, 0.005661636230290973)	(35, 0.004520598774647716)	(36, 0.006715571590083601)	(37, 0.00556582392485528)	(38, 0.01379697198273985)	(39, 0.005330648266058578)	(40, 0.0005748738326141604)	(41, 0.01968507366224246)	(42, 0.012089770904067494)	(43, 0.0030659937739421885)	(44, 0.00826598889622482)	(45, 0.007055269763901059)	(46, 0.011183909107220938)	(47, 0.004128639343319879)	(48, 0.011575868538548775)	(49, 0.0043202639541912655)	(50, 0.014197641623652748)	(51, 0.011061966173030055)	(52, 0.0021862626058508218)	(53, 0.008109205123693687)	(54, 0.011088096801785245)	(55, 0.010173524795353626)	(56, 0.009276373208092133)	(57, 0.004764484643029481)	(58, 0.004207031229585446)	(59, 0.012804008090042663)	(60, 0.2945096064901514)	(61, 0.012124611742407745)	(62, 0.0013936335336100858)	(63, 0.0029963120972616845)	(64, 0.0034666634148550883)	(65, 0.0012281395514938882)	(66, 0.008083074494938497)	(67, 0.0007142371859751689)	(68, 0.0047557744334444174)	(69, 0.0027437160192948563)	(70, 0.0013500824856847707)	(71, 0.0015504173061412206)	(72, 0.004302843535021139)	(73, 8.710209585063036e-06)	(74, 0.004564149822573031)	(75, 0.0014197641623652749)
SRR15502595	(1, 0.2242530559770329)	(2, 0.4940082468264351)	(3, 0.011593288957718901)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00042680026966808877)	(8, 5.2261257510378215e-05)	(9, 0.0)	(10, 0.0014284743719503378)	(11, 0.00019162461087138678)	(12, 1.742041917012607e-05)	(13, 0.0)	(14, 0.00033098796423239535)	(15, 0.004041537247469249)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0010016741022822492)	(20, 0.00019162461087138678)	(21, 0.0008797311680913667)	(22, 8.710209585063036e-06)	(23, 0.0010190945214523753)	(24, 0.00025259607796682804)	(25, 0.0006184248805394755)	(26, 6.097146709544125e-05)	(27, 0.007046559554315997)	(28, 0.00021775523962657588)	(29, 0.0004442206888382148)	(30, 0.004363815002116581)	(31, 0.008300829734565073)	(32, 0.0005487432038589712)	(33, 0.0005400329942739082)	(34, 0.011723942101494845)	(35, 0.005443880990664397)	(36, 0.0035015042531953405)	(37, 0.008466323716681271)	(38, 0.001715911288257418)	(39, 0.00662846949423297)	(40, 0.010696137370457407)	(41, 0.010460961711660706)	(42, 0.017054590367553427)	(43, 0.006611049075062844)	(44, 0.010957443658009299)	(45, 0.006071016080788936)	(46, 0.00720334332684713)	(47, 0.005260966589378074)	(48, 0.013727290306059344)	(49, 0.011811044197345476)	(50, 0.01965023282390221)	(51, 0.017594623361827332)	(52, 0.023195288125022865)	(53, 0.012455599706640142)	(54, 0.02122678075879862)	(55, 0.013265649198051004)	(56, 0.022986243094981353)	(57, 0.015312548450540817)	(58, 0.013892784288175542)	(59, 0.01210719132323762)	(60, 0.014101829318217055)	(61, 0.011628129796059152)	(62, 0.016192279618632184)	(63, 0.02067803755493965)	(64, 0.019946379949794354)	(65, 0.010495802550000958)	(66, 0.011985248389046738)	(67, 0.008074364285353434)	(68, 0.009973189974897177)	(69, 0.013840523030665162)	(70, 0.00418961081041532)	(71, 0.00438994563087177)	(72, 0.00390217389410824)	(73, 0.0025956424563487847)	(74, 0.008710209585063036)	(75, 0.004633831499253536)
SRR15502832	(1, 2.347471554068932)	(2, 0.04079003783788042)	(3, 0.0014329404500708406)	(4, 0.0018905811173709518)	(5, 0.0015529773464118535)	(6, 0.0016430050186676127)	(7, 0.0070221584359492495)	(8, 0.004576406673001114)	(9, 0.0011628574333035619)	(10, 0.0034510607698041186)	(11, 0.00397622219129605)	(12, 0.00047264527934273796)	(13, 0.005934324062858821)	(14, 0.007149697638311576)	(15, 0.00236322639671369)	(16, 0.0038261760708697833)	(17, 0.2972863784005609)	(18, 0.0053491441931963835)	(19, 0.0029108947362695608)	(20, 0.0076523521417395666)	(21, 0.002828369370035115)	(22, 0.004816480465683139)	(23, 0.0032409962012073463)	(24, 0.011200942889820759)	(25, 0.005244111908897998)	(26, 0.009940555478240125)	(27, 0.0020856410739250974)	(28, 0.010278159249199222)	(29, 0.0035110792179746247)	(30, 0.011193440583799445)	(31, 0.00681959617337379)	(32, 0.003623613808294324)	(33, 0.013879266139429606)	(34, 0.006436978566286813)	(35, 0.004328830574297775)	(36, 0.006564517768649139)	(37, 0.005784277942432555)	(38, 0.014336906806729718)	(39, 0.00538665572330295)	(40, 0.0008777698044936562)	(41, 0.019581018715627715)	(42, 0.01267889717601948)	(43, 0.0032785077313139126)	(44, 0.008402582743870898)	(45, 0.006992149211863997)	(46, 0.011823634289589763)	(47, 0.004096259087637062)	(48, 0.012311284180975128)	(49, 0.004546397448915861)	(50, 0.014201865298346078)	(51, 0.011448518988524097)	(52, 0.0024007379268202564)	(53, 0.008177513563231499)	(54, 0.011298472868097832)	(55, 0.010120610822751643)	(56, 0.009752997827707291)	(57, 0.005019042728258599)	(58, 0.004321328268276461)	(59, 0.01293397558074413)	(60, 0.2973463968487314)	(61, 0.013264077045681917)	(62, 0.0014329404500708406)	(63, 0.0028583785941203674)	(64, 0.003661125338400891)	(65, 0.0014704519801774071)	(66, 0.008072481278933112)	(67, 0.0010428205369625487)	(68, 0.004583908979022428)	(69, 0.0029183970422908745)	(70, 0.0013054012477085144)	(71, 0.001515465816305287)	(72, 0.004456369776660101)	(73, 7.502306021313301e-06)	(74, 0.004853991995789705)	(75, 0.0014329404500708406)
SRR15502843	(1, 0.23933106438591562)	(2, 0.48989308088573724)	(3, 0.01072829761047802)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00037511530106566505)	(8, 8.252536623444631e-05)	(9, 0.0)	(10, 0.0013504150838363942)	(11, 0.00012003689634101282)	(12, 1.5004612042626603e-05)	(13, 7.502306021313301e-06)	(14, 0.00031509685289515864)	(15, 0.004688941263320813)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0009002767225575961)	(20, 0.00015004612042626603)	(21, 0.0008252536623444631)	(22, 7.502306021313301e-06)	(23, 0.0006752075419181971)	(24, 0.00024007379268202564)	(25, 0.0005776775636411242)	(26, 8.252536623444631e-05)	(27, 0.007629845223675627)	(28, 0.00026258071074596555)	(29, 0.00042763144321485814)	(30, 0.004486379000745354)	(31, 0.00838757813182827)	(32, 0.0005776775636411242)	(33, 0.0005326637275132444)	(34, 0.01256636258569978)	(35, 0.005446674171473456)	(36, 0.0035035769119533115)	(37, 0.008215025093338064)	(38, 0.0017705442210299391)	(39, 0.006587024686713079)	(40, 0.011193440583799445)	(41, 0.00982051858189911)	(42, 0.017127764646658265)	(43, 0.006069365571242461)	(44, 0.010960869097138733)	(45, 0.006091872489306401)	(46, 0.006902121539608237)	(47, 0.0054091626413668905)	(48, 0.013489146226321316)	(49, 0.012333791099039069)	(50, 0.019566014103585088)	(51, 0.017547893783851812)	(52, 0.023624761661115587)	(53, 0.012356298017103008)	(54, 0.020571323110441072)	(55, 0.013766731549109908)	(56, 0.022266844271257878)	(57, 0.015364722731649641)	(58, 0.013661699264811521)	(59, 0.011583560496907737)	(60, 0.014531966763283864)	(61, 0.011576058190886423)	(62, 0.016107451027759657)	(63, 0.020661350782696833)	(64, 0.019896115568522877)	(65, 0.010563246878009127)	(66, 0.011741108923355318)	(67, 0.008372573519785645)	(68, 0.00995556009028275)	(69, 0.013789238467173847)	(70, 0.004561402060958487)	(71, 0.004268812126127269)	(72, 0.004178784453871509)	(73, 0.0030009224085253204)	(74, 0.008132499727103618)	(75, 0.004583908979022428)
SRR15502854	(1, 2.4105606820644288)	(2, 0.03911683854991318)	(3, 0.0012754345094420627)	(4, 0.0015284132551165216)	(5, 0.0012648937283722937)	(6, 0.0014019238822792922)	(7, 0.00702016019246623)	(8, 0.004100363836140185)	(9, 0.0010857004501862186)	(10, 0.00321493822627958)	(11, 0.0037630588419075737)	(12, 0.0005481206156279939)	(13, 0.005470665375210171)	(14, 0.007441791435256994)	(15, 0.0018762590304189021)	(16, 0.0036471102501401138)	(17, 0.3022041932702805)	(18, 0.004985789446000791)	(19, 0.002677358391721355)	(20, 0.0076842293998616844)	(21, 0.0025508690188841255)	(22, 0.0042690163332564915)	(23, 0.0030041226048841975)	(24, 0.010909708407211033)	(25, 0.0048382185110240235)	(26, 0.009855630300234121)	(27, 0.0018973405925584404)	(28, 0.009908334205582967)	(29, 0.0032465605694888874)	(30, 0.011036197780048261)	(31, 0.006798803790001078)	(32, 0.0032043974452098103)	(33, 0.01366085226642077)	(34, 0.005649858653396245)	(35, 0.0041636085225588)	(36, 0.006514202701117312)	(37, 0.005670940215535783)	(38, 0.013713556171769618)	(39, 0.005333635221303172)	(40, 0.000558661396697763)	(41, 0.01901556904986348)	(42, 0.012554070254095013)	(43, 0.002898714794186506)	(44, 0.008148023766931524)	(45, 0.006735559103582463)	(46, 0.011457829022839027)	(47, 0.0036576510312098824)	(48, 0.011953245733118175)	(49, 0.004321720238605337)	(50, 0.01417735053883946)	(51, 0.011099442466466877)	(52, 0.0019184221546979787)	(53, 0.007452332216326764)	(54, 0.01107836090432734)	(55, 0.009908334205582967)	(56, 0.009307509684606127)	(57, 0.004616862108558871)	(58, 0.003889548214744803)	(59, 0.012975701496885778)	(60, 0.29481510574037234)	(61, 0.01283867134297878)	(62, 0.001201649041953679)	(63, 0.0027511438592097387)	(64, 0.003098989634512119)	(65, 0.0011384043555350643)	(66, 0.007610443932373301)	(67, 0.0009170479530699129)	(68, 0.004121445398279723)	(69, 0.00249816511353528)	(70, 0.0010962412312559879)	(71, 0.0012754345094420627)	(72, 0.0038473850904657265)	(73, 2.1081562139538227e-05)	(74, 0.004016037587582033)	(75, 0.0012438121662327554)
SRR15502865	(1, 0.28182886346241676)	(2, 0.495385087935939)	(3, 0.010646188880466805)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00039000889958145724)	(8, 0.00010540781069769115)	(9, 0.0)	(10, 0.0012754345094420627)	(11, 9.486702962792202e-05)	(12, 2.1081562139538227e-05)	(13, 1.0540781069769113e-05)	(14, 0.0003162234320930734)	(15, 0.004595780546419333)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0009486702962792202)	(20, 0.00014757093497676758)	(21, 0.0007589362370233762)	(22, 1.0540781069769113e-05)	(23, 0.0006429876452559159)	(24, 0.0002108156213953823)	(25, 0.000558661396697763)	(26, 4.216312427907645e-05)	(27, 0.00725205737600115)	(28, 0.00018973405925584404)	(29, 0.0003373049942326116)	(30, 0.004100363836140185)	(31, 0.008116401423722218)	(32, 0.0006324468641861468)	(33, 0.0005270390534884556)	(34, 0.012237846822001939)	(35, 0.0052493089727450185)	(36, 0.003373049942326117)	(37, 0.008021534394094296)	(38, 0.0016338210658142127)	(39, 0.006377172547210314)	(40, 0.011331339650001798)	(41, 0.009676437022048047)	(42, 0.016928494398049197)	(43, 0.005692021777675321)	(44, 0.010941330750420341)	(45, 0.00582905193158232)	(46, 0.006851507695349924)	(47, 0.005070115694558944)	(48, 0.013513281331444004)	(49, 0.012216765259862402)	(50, 0.01947936341693332)	(51, 0.017402829546188808)	(52, 0.02320025913456182)	(53, 0.012269469165211247)	(54, 0.02094453198563123)	(55, 0.013513281331444004)	(56, 0.022146181027584907)	(57, 0.01556873364004898)	(58, 0.013386791958606774)	(59, 0.011858378703490253)	(60, 0.014556818657351147)	(61, 0.011173227933955261)	(62, 0.01579009004251413)	(63, 0.021102643701677765)	(64, 0.01984829075437524)	(65, 0.01035104701051327)	(66, 0.011721348549583255)	(67, 0.008116401423722218)	(68, 0.009528866087071278)	(69, 0.013692474609630079)	(70, 0.004543076641070488)	(71, 0.004184690084698338)	(72, 0.004195230865768108)	(73, 0.0029092555752562753)	(74, 0.008369380169396676)	(75, 0.004258475552186722)
