Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR15502495	(6.0, 2.0)	(7.0, 1.0)	(8.0, 2.0)	(9.0, 9.0)	(10.0, 4.0)	(11.0, 12.0)	(12.0, 90.0)	(13.0, 165.0)	(14.0, 532.0)	(15.0, 2024.0)	(16.0, 4872.0)	(17.0, 8943.0)	(18.0, 13922.0)	(19.0, 18438.0)	(20.0, 23679.0)	(21.0, 30235.0)	(22.0, 37230.0)	(23.0, 45255.0)	(24.0, 53713.0)	(25.0, 63774.0)	(26.0, 75148.0)	(27.0, 87434.0)	(28.0, 102185.0)	(29.0, 118287.0)	(30.0, 137181.0)	(31.0, 160139.0)	(32.0, 187220.0)	(33.0, 221466.0)	(34.0, 268804.0)	(35.0, 337339.0)	(36.0, 452308.0)	(37.0, 679075.0)	(38.0, 1221278.0)	(39.0, 2574973.0)	(40.0, 1788892.0)	
SRR15502506	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 6.0)	(18.0, 9.0)	(19.0, 41.0)	(20.0, 95.0)	(21.0, 207.0)	(22.0, 557.0)	(23.0, 1226.0)	(24.0, 2538.0)	(25.0, 5046.0)	(26.0, 9186.0)	(27.0, 15327.0)	(28.0, 23910.0)	(29.0, 35203.0)	(30.0, 49677.0)	(31.0, 66750.0)	(32.0, 85858.0)	(33.0, 109756.0)	(34.0, 135715.0)	(35.0, 167630.0)	(36.0, 210454.0)	(37.0, 274778.0)	(38.0, 393519.0)	(39.0, 806014.0)	(40.0, 6321126.0)									
SRR15502562	(5.0, 1.0)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 8.0)	(9.0, 7.0)	(10.0, 9.0)	(11.0, 18.0)	(12.0, 99.0)	(13.0, 170.0)	(14.0, 510.0)	(15.0, 1948.0)	(16.0, 4544.0)	(17.0, 8599.0)	(18.0, 13563.0)	(19.0, 19265.0)	(20.0, 26084.0)	(21.0, 34273.0)	(22.0, 43587.0)	(23.0, 54202.0)	(24.0, 65699.0)	(25.0, 79618.0)	(26.0, 95163.0)	(27.0, 112893.0)	(28.0, 132894.0)	(29.0, 155977.0)	(30.0, 183612.0)	(31.0, 216329.0)	(32.0, 254885.0)	(33.0, 305473.0)	(34.0, 372364.0)	(35.0, 470515.0)	(36.0, 634371.0)	(37.0, 964175.0)	(38.0, 1762298.0)	(39.0, 3587025.0)	(40.0, 2207679.0)
SRR15502573	(15.0, 1.0)	(16.0, 2.0)	(17.0, 6.0)	(18.0, 17.0)	(19.0, 52.0)	(20.0, 121.0)	(21.0, 298.0)	(22.0, 714.0)	(23.0, 1632.0)	(24.0, 3358.0)	(25.0, 6501.0)	(26.0, 11764.0)	(27.0, 19324.0)	(28.0, 30338.0)	(29.0, 44867.0)	(30.0, 63278.0)	(31.0, 85759.0)	(32.0, 110784.0)	(33.0, 141593.0)	(34.0, 177268.0)	(35.0, 218761.0)	(36.0, 276944.0)	(37.0, 363895.0)	(38.0, 524786.0)	(39.0, 1069977.0)	(40.0, 8655819.0)										
SRR15502584	(6.0, 1.0)	(7.0, 5.0)	(8.0, 3.0)	(9.0, 6.0)	(10.0, 5.0)	(11.0, 10.0)	(12.0, 97.0)	(13.0, 170.0)	(14.0, 530.0)	(15.0, 1786.0)	(16.0, 4822.0)	(17.0, 9799.0)	(18.0, 15964.0)	(19.0, 22960.0)	(20.0, 30608.0)	(21.0, 39108.0)	(22.0, 48940.0)	(23.0, 60257.0)	(24.0, 71917.0)	(25.0, 85519.0)	(26.0, 101407.0)	(27.0, 118247.0)	(28.0, 136739.0)	(29.0, 160358.0)	(30.0, 186335.0)	(31.0, 218438.0)	(32.0, 256266.0)	(33.0, 303827.0)	(34.0, 367607.0)	(35.0, 462392.0)	(36.0, 616680.0)	(37.0, 916359.0)	(38.0, 1617223.0)	(39.0, 3310131.0)	(40.0, 2316264.0)	
SRR15502595	(16.0, 3.0)	(17.0, 9.0)	(18.0, 21.0)	(19.0, 50.0)	(20.0, 127.0)	(21.0, 292.0)	(22.0, 760.0)	(23.0, 1613.0)	(24.0, 3414.0)	(25.0, 6504.0)	(26.0, 11674.0)	(27.0, 19391.0)	(28.0, 30405.0)	(29.0, 44611.0)	(30.0, 63094.0)	(31.0, 85229.0)	(32.0, 110449.0)	(33.0, 140664.0)	(34.0, 175760.0)	(35.0, 219095.0)	(36.0, 276337.0)	(37.0, 361864.0)	(38.0, 524408.0)	(39.0, 1077840.0)	(40.0, 8327166.0)											
SRR15502832	(5.0, 2.0)	(6.0, 3.0)	(7.0, 8.0)	(8.0, 6.0)	(9.0, 12.0)	(10.0, 12.0)	(11.0, 18.0)	(12.0, 97.0)	(13.0, 240.0)	(14.0, 1010.0)	(15.0, 3427.0)	(16.0, 8459.0)	(17.0, 15302.0)	(18.0, 22458.0)	(19.0, 29509.0)	(20.0, 37555.0)	(21.0, 46548.0)	(22.0, 57129.0)	(23.0, 68911.0)	(24.0, 82413.0)	(25.0, 96663.0)	(26.0, 114617.0)	(27.0, 133563.0)	(28.0, 155330.0)	(29.0, 180551.0)	(30.0, 210472.0)	(31.0, 245005.0)	(32.0, 288565.0)	(33.0, 342702.0)	(34.0, 415082.0)	(35.0, 521211.0)	(36.0, 692736.0)	(37.0, 1029181.0)	(38.0, 1832349.0)	(39.0, 3881430.0)	(40.0, 2816659.0)
SRR15502843	(15.0, 1.0)	(16.0, 3.0)	(17.0, 7.0)	(18.0, 25.0)	(19.0, 41.0)	(20.0, 128.0)	(21.0, 356.0)	(22.0, 884.0)	(23.0, 1920.0)	(24.0, 3890.0)	(25.0, 7678.0)	(26.0, 13408.0)	(27.0, 22695.0)	(28.0, 35800.0)	(29.0, 52775.0)	(30.0, 74144.0)	(31.0, 100184.0)	(32.0, 129432.0)	(33.0, 164734.0)	(34.0, 205993.0)	(35.0, 255848.0)	(36.0, 322158.0)	(37.0, 421609.0)	(38.0, 607803.0)	(39.0, 1252881.0)	(40.0, 9654838.0)										
SRR15502854	(5.0, 1.0)	(6.0, 2.0)	(7.0, 1.0)	(8.0, 3.0)	(9.0, 6.0)	(10.0, 6.0)	(11.0, 11.0)	(12.0, 82.0)	(13.0, 169.0)	(14.0, 669.0)	(15.0, 2303.0)	(16.0, 6039.0)	(17.0, 12051.0)	(18.0, 19473.0)	(19.0, 26736.0)	(20.0, 34612.0)	(21.0, 42968.0)	(22.0, 51577.0)	(23.0, 61003.0)	(24.0, 71185.0)	(25.0, 83172.0)	(26.0, 95404.0)	(27.0, 108979.0)	(28.0, 123987.0)	(29.0, 141498.0)	(30.0, 160934.0)	(31.0, 185277.0)	(32.0, 215202.0)	(33.0, 251253.0)	(34.0, 298445.0)	(35.0, 369546.0)	(36.0, 481015.0)	(37.0, 689408.0)	(38.0, 1165772.0)	(39.0, 2500709.0)	(40.0, 2287465.0)
SRR15502865	(16.0, 2.0)	(17.0, 3.0)	(18.0, 12.0)	(19.0, 42.0)	(20.0, 82.0)	(21.0, 269.0)	(22.0, 716.0)	(23.0, 1523.0)	(24.0, 3302.0)	(25.0, 6394.0)	(26.0, 11600.0)	(27.0, 19286.0)	(28.0, 30450.0)	(29.0, 44111.0)	(30.0, 61625.0)	(31.0, 81516.0)	(32.0, 105308.0)	(33.0, 131612.0)	(34.0, 162506.0)	(35.0, 199034.0)	(36.0, 248087.0)	(37.0, 321670.0)	(38.0, 463473.0)	(39.0, 996041.0)	(40.0, 6598299.0)											
SRR15502965	(6.0, 1.0)	(7.0, 5.0)	(8.0, 1.0)	(9.0, 7.0)	(10.0, 8.0)	(11.0, 17.0)	(12.0, 85.0)	(13.0, 173.0)	(14.0, 563.0)	(15.0, 1887.0)	(16.0, 4309.0)	(17.0, 7822.0)	(18.0, 11823.0)	(19.0, 16232.0)	(20.0, 21096.0)	(21.0, 27502.0)	(22.0, 34767.0)	(23.0, 43357.0)	(24.0, 52817.0)	(25.0, 63859.0)	(26.0, 76125.0)	(27.0, 90363.0)	(28.0, 106108.0)	(29.0, 124825.0)	(30.0, 148020.0)	(31.0, 174739.0)	(32.0, 205832.0)	(33.0, 247212.0)	(34.0, 302266.0)	(35.0, 383013.0)	(36.0, 517199.0)	(37.0, 782263.0)	(38.0, 1397596.0)	(39.0, 2731123.0)	(40.0, 1623751.0)	
SRR15502976	(16.0, 1.0)	(17.0, 4.0)	(18.0, 22.0)	(19.0, 35.0)	(20.0, 101.0)	(21.0, 242.0)	(22.0, 563.0)	(23.0, 1313.0)	(24.0, 2550.0)	(25.0, 4892.0)	(26.0, 8716.0)	(27.0, 14520.0)	(28.0, 22662.0)	(29.0, 33917.0)	(30.0, 48128.0)	(31.0, 65073.0)	(32.0, 85071.0)	(33.0, 108410.0)	(34.0, 136035.0)	(35.0, 170932.0)	(36.0, 216670.0)	(37.0, 286321.0)	(38.0, 418845.0)	(39.0, 870101.0)	(40.0, 6701642.0)											
SRR15502988	(6.0, 2.0)	(7.0, 3.0)	(8.0, 3.0)	(9.0, 5.0)	(10.0, 5.0)	(11.0, 17.0)	(12.0, 65.0)	(13.0, 125.0)	(14.0, 372.0)	(15.0, 1170.0)	(16.0, 3360.0)	(17.0, 6996.0)	(18.0, 11599.0)	(19.0, 16827.0)	(20.0, 22848.0)	(21.0, 29698.0)	(22.0, 37081.0)	(23.0, 46498.0)	(24.0, 55898.0)	(25.0, 67778.0)	(26.0, 80302.0)	(27.0, 94426.0)	(28.0, 110413.0)	(29.0, 129096.0)	(30.0, 150737.0)	(31.0, 177037.0)	(32.0, 209414.0)	(33.0, 250544.0)	(34.0, 306590.0)	(35.0, 390078.0)	(36.0, 531117.0)	(37.0, 804569.0)	(38.0, 1421818.0)	(39.0, 2671302.0)	(40.0, 1526505.0)	
SRR15502999	(16.0, 1.0)	(17.0, 5.0)	(18.0, 9.0)	(19.0, 34.0)	(20.0, 85.0)	(21.0, 204.0)	(22.0, 540.0)	(23.0, 1214.0)	(24.0, 2474.0)	(25.0, 4906.0)	(26.0, 8627.0)	(27.0, 14678.0)	(28.0, 23181.0)	(29.0, 34642.0)	(30.0, 48969.0)	(31.0, 66711.0)	(32.0, 87120.0)	(33.0, 112239.0)	(34.0, 140743.0)	(35.0, 175530.0)	(36.0, 222789.0)	(37.0, 292649.0)	(38.0, 424724.0)	(39.0, 882691.0)	(40.0, 6609533.0)											
SRR15503143	(6.0, 2.0)	(7.0, 2.0)	(8.0, 4.0)	(9.0, 5.0)	(10.0, 7.0)	(11.0, 15.0)	(12.0, 94.0)	(13.0, 198.0)	(14.0, 654.0)	(15.0, 1938.0)	(16.0, 4898.0)	(17.0, 9288.0)	(18.0, 14890.0)	(19.0, 21378.0)	(20.0, 27968.0)	(21.0, 35518.0)	(22.0, 45212.0)	(23.0, 55556.0)	(24.0, 66980.0)	(25.0, 80023.0)	(26.0, 95640.0)	(27.0, 111644.0)	(28.0, 131381.0)	(29.0, 153876.0)	(30.0, 179394.0)	(31.0, 210282.0)	(32.0, 247651.0)	(33.0, 295430.0)	(34.0, 357118.0)	(35.0, 447492.0)	(36.0, 592700.0)	(37.0, 874557.0)	(38.0, 1557820.0)	(39.0, 3471602.0)	(40.0, 2906269.0)	
SRR15503154	(16.0, 3.0)	(17.0, 3.0)	(18.0, 18.0)	(19.0, 52.0)	(20.0, 126.0)	(21.0, 300.0)	(22.0, 742.0)	(23.0, 1520.0)	(24.0, 3123.0)	(25.0, 6255.0)	(26.0, 11102.0)	(27.0, 18827.0)	(28.0, 29625.0)	(29.0, 44394.0)	(30.0, 62364.0)	(31.0, 84767.0)	(32.0, 111566.0)	(33.0, 142776.0)	(34.0, 179922.0)	(35.0, 223859.0)	(36.0, 283886.0)	(37.0, 371488.0)	(38.0, 538465.0)	(39.0, 1100081.0)	(40.0, 8782222.0)											
