Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR15502495	(1.0, 50.99882799592152)	(2.0, 14.533046146830225)	(3.0, 6.608089337750226)	(4.0, 3.7779771688531056)	(5.0, 2.4226816914390508)	(6.0, 1.6559210989848152)	(7.0, 1.2384088166598881)	(8.0, 0.9750661266999934)	(9.0, 0.8526829840140351)	('>10', 6.746517296586488)	('>50', 2.167982790879671)	('>100', 5.807299013510411)	('>500', 1.5494384768135618)	('>1k', 0.6660610550568885)	('>5k', 0.0)	('>10k+', 0.0)
SRR15502506	(1.0, 38.18667627458534)	(2.0, 14.507738433886793)	(3.0, 7.555408364114611)	(4.0, 4.597291413096661)	(5.0, 3.163224299327959)	(6.0, 2.3473032980547073)	(7.0, 1.8330642027137962)	(8.0, 1.4803146574564974)	(9.0, 1.2098107007507208)	('>10', 11.603716988407108)	('>50', 2.6392406464748346)	('>100', 5.610103846758037)	('>500', 2.2076292094771923)	('>1k', 2.948848253498948)	('>5k', 0.10962941139675907)	('>10k+', 0.0)
SRR15502562	(1.0, 51.09474890092811)	(2.0, 15.164922382923313)	(3.0, 7.561506926490119)	(4.0, 4.327317527604541)	(5.0, 2.8815639534772117)	(6.0, 2.04399923184589)	(7.0, 1.3898585296880859)	(8.0, 1.1722713506328064)	(9.0, 0.9226308213790094)	('>10', 7.429334489258402)	('>50', 1.625367310164016)	('>100', 3.2369524161098626)	('>500', 0.8043788978675223)	('>1k', 0.34514726163112)	('>5k', 0.0)	('>10k+', 0.0)
SRR15502573	(1.0, 40.90732498162775)	(2.0, 15.575609414782335)	(3.0, 8.205395926221064)	(4.0, 5.254420751371288)	(5.0, 3.554839512465887)	(6.0, 2.6943104255296237)	(7.0, 1.9984894608211943)	(8.0, 1.6089093559921255)	(9.0, 1.3040047460394146)	('>10', 10.979266830000832)	('>50', 2.0989617030928396)	('>100', 3.5954749006466185)	('>500', 1.133135451102758)	('>1k', 1.0898565403065619)	('>5k', 0.0)	('>10k+', 0.0)
SRR15502584	(1.0, 51.76875560548344)	(2.0, 14.6764398400173)	(3.0, 7.238227812892339)	(4.0, 4.157342203446707)	(5.0, 2.728406193709575)	(6.0, 1.9219157245685539)	(7.0, 1.4136188337855988)	(8.0, 1.0871004955403698)	(9.0, 0.9491829383334347)	('>10', 7.350419295687407)	('>50', 1.6468450551547782)	('>100', 3.7099005524419053)	('>500', 0.9215788739364843)	('>1k', 0.4302665750021942)	('>5k', 0.0)	('>10k+', 0.0)
SRR15502595	(1.0, 40.86958749072677)	(2.0, 15.4976635127014)	(3.0, 8.292482728015667)	(4.0, 4.963796089915781)	(5.0, 3.470802695239266)	(6.0, 2.4511068394737148)	(7.0, 1.8338638654944937)	(8.0, 1.5031722302831099)	(9.0, 1.2648804132318592)	('>10', 11.068723283121294)	('>50', 2.1931697577601574)	('>100', 4.042235572934161)	('>500', 1.3236542172458554)	('>1k', 1.2248613038563991)	('>5k', 0.0)	('>10k+', 0.0)
SRR15502832	(1.0, 50.08538130001672)	(2.0, 15.0310487660459)	(3.0, 7.694092841863032)	(4.0, 4.485379449782174)	(5.0, 2.8114506796963967)	(6.0, 2.072750140094248)	(7.0, 1.576289505422918)	(8.0, 1.2229988124399402)	(9.0, 0.9891358446169093)	('>10', 7.569606223925231)	('>50', 1.6297673155002053)	('>100', 3.437629576043895)	('>500', 0.9304731710497471)	('>1k', 0.4099817760097256)	('>5k', 0.054014597493098435)	('>10k+', 0.0)
SRR15502843	(1.0, 40.00304469663579)	(2.0, 16.12014388627404)	(3.0, 8.344223707962056)	(4.0, 5.164827566972802)	(5.0, 3.6580355466834162)	(6.0, 2.587345593616781)	(7.0, 2.029404113577199)	(8.0, 1.664491535567126)	(9.0, 1.2873213511310062)	('>10', 10.84223576673255)	('>50', 2.0983763044730774)	('>100', 3.7346637995652694)	('>500', 1.2384444104885366)	('>1k', 1.2274417203204722)	('>5k', 0.0)	('>10k+', 0.0)
SRR15502854	(1.0, 56.02028492411269)	(2.0, 15.043352662816822)	(3.0, 6.997476527939525)	(4.0, 3.9230776748951195)	(5.0, 2.4220312867574285)	(6.0, 1.6029120575210924)	(7.0, 1.1931818960425022)	(8.0, 0.8973850086461979)	(9.0, 0.7831073806060053)	('>10', 6.002501625731302)	('>50', 1.4406504543517789)	('>100', 2.96473825448233)	('>500', 0.5104496289761179)	('>1k', 0.19885061712110708)	('>5k', 0.0)	('>10k+', 0.0)
SRR15502865	(1.0, 44.82110653159265)	(2.0, 15.974103627045706)	(3.0, 8.227783530431603)	(4.0, 4.845055257012869)	(5.0, 3.1742132935864467)	(6.0, 2.3211476840566823)	(7.0, 1.7994149801134056)	(8.0, 1.4132430041891255)	(9.0, 1.056606406755684)	('>10', 9.434211654933494)	('>50', 1.8324871394486852)	('>100', 3.34496682050637)	('>500', 1.1023606602777614)	('>1k', 0.6532994100495398)	('>5k', 0.0)	('>10k+', 0.0)
SRR15502965	(1.0, 52.28402745643476)	(2.0, 15.154683804051345)	(3.0, 7.145904279527501)	(4.0, 4.058090525512381)	(5.0, 2.600149536479069)	(6.0, 1.805699050304826)	(7.0, 1.36984764661646)	(8.0, 1.0557009364543832)	(9.0, 0.8308827090785533)	('>10', 6.846555551653949)	('>50', 1.7193691786422396)	('>100', 3.8090664529143115)	('>500', 0.9476068297967458)	('>1k', 0.3724160425333906)	('>5k', 0.0)	('>10k+', 0.0)
