Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR15502495	36.984719975352064	48.0	75.0	75	0.0	8.714630999999999
SRR15502506	48.55083820476015	48.0	75.0	75	10.0	8.714630999999999
SRR15502562	35.869621386707124	49.0	75.0	75	0.0	11.807858999999999
SRR15502573	44.76551543050293	48.0	75.0	75	10.0	11.807858999999999
SRR15502584	35.653347678545956	48.0	75.0	75	0.0	11.48078
SRR15502595	44.97841193181795	48.0	75.0	75	10.0	11.48078
SRR15502832	36.82217352379027	49.0	75.0	75	0.0	13.329234999999999
SRR15502843	45.37030399255371	49.0	75.0	75	10.0	13.329234999999999
SRR15502854	31.632706160231777	48.0	75.0	75	0.0	9.486963
SRR15502865	41.05742542735694	48.0	75.0	75	10.0	9.486963
SRR15502965	35.05533775588596	49.0	75.0	75	0.0	9.196766
SRR15502976	48.20157230497498	49.0	75.0	75	10.0	9.196766
SRR15502988	37.18706026840817	48.0	75.0	75	0.0	9.154297999999999
SRR15502999	52.014532613309186	49.0	75.0	75	20.0	9.154297999999999
SRR15503143	37.66124205634257	49.0	75.0	75	0.0	11.997486
SRR15503154	46.347548675365616	49.0	75.0	75	10.0	11.997486
